dispatch_id,timestamp,plant_id,route_id,vehicle_id,sku,qty_dispatched,retailer_id,dispatch_delay_minutes,hour,dayofweek,is_weekend,abs_delay,is_delayed_15,route_id_mean_7D,route_id_median_7D,route_id_std_7D,route_id_count_7D,route_id_mean_30D,route_id_median_30D,route_id_std_30D,route_id_count_30D,plant_id_mean_7D,plant_id_median_7D,plant_id_std_7D,plant_id_count_7D,plant_id_mean_30D,plant_id_median_30D,plant_id_std_30D,plant_id_count_30D,route_id_mean,route_id_std,route_id_zscore
DSP_110257,2025-02-20 15:32:59,Shepperton_Plant,RT_002,TRUCK_016,Whole Wheat,470,STORE_050,7.0,15.0,Thursday,False,7.0,False,20.22222222222222,18.0,18.59958183520383,9,18.294117647058822,17.5,16.726914279659397,34,16.647540983606557,17.0,16.37468794972867,244,16.949261992619927,17.0,15.690985508638787,1084,17.942084942084943,15.488696963291131,-0.7064561317209671
DSP_109730,2025-02-27 00:07:13,Willowvale_Plant,RT_003,TRUCK_053,High Energy White,237,STORE_182,-6.0,0.0,Thursday,False,6.0,False,24.5,25.0,10.630145812734666,4,20.387096774193548,20.0,12.940060327924385,31,18.011363636363637,17.5,15.466751523709258,264,17.570305676855895,17.0,15.813228904480638,1145,16.86864406779661,16.44474021402636,-1.3906357759480474
DSP_109493,2025-02-09 00:40:21,Shepperton_Plant,RT_052,TRUCK_008,Seed Loaf,177,STORE_196,-3.0,0.0,Sunday,True,3.0,False,2.0,2.0,2.4494897427830127,4,14.794871794871796,13.0,17.520183078801136,39,16.33941605839416,16.0,16.068242095928454,274,17.212747631352283,17.0,15.693301100366785,1161,16.9625,15.655905418626782,-1.2750779636321383
DSP_103437,2025-05-22 08:44:26,Shepperton_Plant,RT_060,TRUCK_086,Soft White,455,STORE_075,21.0,8.0,Thursday,False,21.0,True,15.666666666666666,18.0,20.93481948015475,6,18.419354838709676,20.0,15.821449983168186,31,18.362962962962964,19.0,16.501935183309936,270,17.045021645021645,17.0,15.867564413328967,1155,16.533632286995516,15.210164003038011,0.29364362620366163
DSP_113085,2025-04-27 07:40:01,Shepperton_Plant,RT_068,TRUCK_040,Seed Loaf,96,STORE_107,3.0,7.0,Sunday,True,3.0,False,19.666666666666668,22.5,18.97015199376817,6,19.75862068965517,23.0,15.407918123052816,29,18.639097744360903,20.0,16.181675331724932,266,17.591145833333332,18.0,16.1234494115699,1152,16.807881773399014,16.093093560356518,-0.858000465952248
DSP_104649,2025-02-15 00:00:00,Willowvale_Plant,RT_063,TRUCK_047,Family Loaf,264,STORE_137,17.0,0.0,Saturday,True,17.0,True,21.714285714285715,15.0,17.58516690958876,7,15.121212121212121,15.0,16.79240448788823,33,18.65134099616858,19.0,15.668595738788552,261,17.306993642143507,17.0,16.09421793826919,1101,18.990909090909092,16.668399245769084,-0.11944212887835895
DSP_101617,2025-02-02 19:05:52,Willowvale_Plant,RT_062,TRUCK_030,Family Loaf,54,STORE_048,28.0,19.0,Sunday,True,28.0,True,16.75,18.0,17.63282923034947,4,16.75,18.0,17.63282923034947,4,20.353846153846153,22.0,16.53918714866186,65,20.353846153846153,22.0,16.53918714866186,65,18.10091743119266,15.762900475880251,0.6279987990760022
DSP_105478,2025-02-01 23:07:03,Shepperton_Plant,RT_049,TRUCK_076,Seed Loaf,36,STORE_116,10.0,23.0,Saturday,True,10.0,False,13.857142857142858,11.0,16.118607998506704,7,18.852941176470587,25.0,15.519552385260965,34,17.03435114503817,18.0,15.325921601946837,262,16.527927927927927,16.0,15.976669030875124,1110,17.529661016949152,15.830322690341669,-0.4756479804131294
DSP_105351,2025-01-19 16:39:41,Willowvale_Plant,RT_060,TRUCK_041,Whole Wheat,164,STORE_050,11.0,16.0,Sunday,True,11.0,False,18.6,21.0,16.621271511730583,10,15.75,18.0,15.328657538593648,32,16.884615384615383,17.0,16.464134233773585,260,17.175066312997348,17.0,15.909626875530671,1131,16.533632286995516,15.210164003038011,-0.3638114806579503
DSP_113429,2025-07-16 09:49:03,Shepperton_Plant,RT_001,TRUCK_002,High Energy White,255,STORE_145,34.0,9.0,Wednesday,False,34.0,True,14.5,11.5,15.392999852025088,10,17.620689655172413,16.0,15.39576424378622,29,16.59259259259259,17.0,16.3057900108761,243,17.514052583862195,17.0,16.351890730932684,1103,17.009049773755656,15.269396294021423,1.1127453829263032
