dispatch_id,timestamp,plant_id,route_id,vehicle_id,sku,qty_dispatched,expected_arrival,actual_arrival,retailer_id,qty dispatched 
DSP_102676,2025-05-13 17:59:45,Willowvale_Plant,RT_025,TRUCK_089,High Energy Brown,433,2025-05-13 20:32:45,2025-05-13 21:14:45,STORE_119,433
DSP_104077,2025-02-01 10:06:06,Shepperton_Plant,RT_001,TRUCK_027,Family Loaf,439,2025-02-01 13:00:06,2025-02-01 12:54:06,STORE_055,439
DSP_100828,2025-07-23 18:49:11,Willowvale_Plant,RT_048,TRUCK_021,Whole Wheat,144,2025-07-23 21:20:11,2025-07-23 21:45:11,STORE_018,144
DSP_115781,2025-02-20 05:04:41,Shepperton_Plant,RT_019,TRUCK_029,Seed Loaf,60,2025-02-20 06:33:41,2025-02-20 06:44:41,STORE_072,60
DSP_113681,2025-07-15 06:53:55,Shepperton_Plant,RT_021,TRUCK_072,Seed Loaf,318,2025-07-15 08:23:55,2025-07-15 08:53:55,STORE_125,318
DSP_110575,2025-05-07 19:21:36,Willowvale_Plant,RT_057,TRUCK_037,Whole Wheat,543,2025-05-07 20:00:36,2025-05-07 20:32:36,STORE_113,543
DSP_100102,2025-01-09 21:46:38,Shepperton_Plant,RT_029,TRUCK_051,Wholegrain Brown,501,2025-01-10 01:17:38,2025-01-10 01:19:38,STORE_120,501
DSP_113823,2025-02-17 06:33:16,Shepperton_Plant,RT_028,TRUCK_050,Seed Loaf,405,2025-02-17 10:06:16,2025-02-17 10:44:16,STORE_039,405
DSP_110639,2025-01-20 23:49:33,Shepperton_Plant,RT_021,TRUCK_020,High Energy Brown,500,2025-01-21 02:19:33,2025-01-21 02:48:33,STORE_117,500
DSP_110439,2025-05-25 02:06:04,Willowvale_Plant,RT_044,TRUCK_034,High Energy Brown,331,2025-05-25 05:41:04,2025-05-25 05:55:04,STORE_001,331
DSP_113789,2025-05-13 15:11:38,Shepperton_Plant,RT_037,TRUCK_086,High Energy White,311,2025-05-13 18:58:38,2025-05-13 19:41:38,STORE_166,311
DSP_101453,2025-04-19 00:09:55,Willowvale_Plant,RT_040,TRUCK_032,Seed Loaf,36,2025-04-19 02:03:55,2025-04-19 02:37:55,STORE_134,36
DSP_115430,2025-01-01 23:46:31,Shepperton_Plant,RT_028,TRUCK_047,Whole Wheat,205,2025-01-02 00:48:31,2025-01-02 01:10:31,STORE_004,205
DSP_102250,2025-05-20 15:39:29,Willowvale_Plant,RT_065,TRUCK_044,Seed Loaf,354,2025-05-20 19:17:29,2025-05-20 19:26:29,STORE_180,354
DSP_111498,2025-06-01 16:45:58,Shepperton_Plant,RT_021,TRUCK_084,Soft White,225,2025-06-01 18:54:58,2025-06-01 19:06:58,STORE_011,225
DSP_103379,2025-05-04 14:35:44,Willowvale_Plant,RT_038,TRUCK_008,Whole Wheat,252,2025-05-04 17:32:44,2025-05-04 17:42:44,STORE_016,252
DSP_109443,2025-04-24 04:25:10,Willowvale_Plant,RT_016,TRUCK_039,Wholegrain Brown,209,2025-04-24 06:21:10,2025-04-24 06:48:10,STORE_113,209
DSP_110991,2025-06-20 01:35:36,Willowvale_Plant,RT_008,TRUCK_077,High Energy Brown,258,2025-06-20 04:53:36,2025-06-20 04:53:36,STORE_150,258
DSP_112882,2025-01-19 04:22:05,Shepperton_Plant,RT_069,TRUCK_068,Family Loaf,436,2025-01-19 07:23:05,2025-01-19 07:54:05,STORE_182,436
DSP_115822,2025-04-12 22:57:19,Willowvale_Plant,RT_033,TRUCK_034,Whole Wheat,508,2025-04-13 01:45:19,2025-04-13 02:14:19,STORE_093,508
DSP_114632,2025-03-12 23:43:21,Willowvale_Plant,RT_029,TRUCK_053,Whole Wheat,197,2025-03-13 03:15:21,2025-03-13 03:50:21,STORE_055,197
DSP_107417,2025-05-17 23:32:37,Shepperton_Plant,RT_039,TRUCK_073,Seed Loaf,453,2025-05-18 03:27:37,2025-05-18 03:44:37,STORE_099,453
DSP_102512,2025-02-12 12:04:37,Willowvale_Plant,RT_062,TRUCK_056,Soft White,245,2025-02-12 14:17:37,2025-02-12 14:12:37,STORE_177,245
DSP_106884,2025-06-24 15:46:47,Willowvale_Plant,RT_065,TRUCK_088,Soft White,57,2025-06-24 19:43:47,2025-06-24 20:18:47,STORE_109,57
