sensor_id,timestamp,plant_id,equipment_id,metric_name,metric_value
SEN_2797,2025-03-02 22:21:22,Willowvale_Plant,METAL_DETECTOR_01,Detection Event,0.0
SEN_12135,2025-01-04 04:16:51,Willowvale_Plant,COOLING_TUNNEL_01,Air Temperature,26.31
SEN_17740,2025-05-22 21:29:23,Shepperton_Plant,PACKAGING_LINE_01,Seal Integrity,86.23
SEN_3288,2025-07-10 09:42:41,Willowvale_Plant,DOUGH_MIXER_02,Motor Vibration,2.99
SEN_5859,2025-03-26 01:12:49,Willowvale_Plant,METAL_DETECTOR_01,Detection Event,0.0
SEN_15286,2025-04-13 08:57:23,Shepperton_Plant,COOLING_TUNNEL_01,Air Temperature,31.2
SEN_9091,2025-02-12 21:58:10,Shepperton_Plant,DOUGH_MIXER_01,Motor Vibration,3.23
SEN_3074,2025-01-08 14:33:11,Willowvale_Plant,OVEN_01,Oven Temperature,203.58
SEN_11989,2025-03-23 10:55:50,Willowvale_Plant,CONVEYOR_01,Belt Speed,
SEN_3270,2025-03-12 16:31:51,Shepperton_Plant,OVEN_01,Oven Temperature,206.76
SEN_6528,2025-01-18 08:26:03,Willowvale_Plant,PROOFER_01,Humidity Level,74.14
SEN_7682,2025-01-05 05:40:14,Willowvale_Plant,CONVEYOR_01,Belt Speed,1.57
SEN_16988,2025-07-11 18:10:11,Willowvale_Plant,CONVEYOR_02,Belt Speed,0.88
SEN_12619,2025-03-15 21:01:14,Willowvale_Plant,PACKAGING_LINE_01,Seal Integrity,99.69
SEN_8427,2025-04-08 22:26:29,Willowvale_Plant,DOUGH_MIXER_02,Motor Vibration,3.61
SEN_4984,2025-04-02 09:26:59,Shepperton_Plant,PROOFER_01,Humidity Level,72.61
SEN_9961,2025-01-12 16:45:36,Shepperton_Plant,COOLING_TUNNEL_01,Air Temperature,32.28
SEN_2685,2025-06-13 04:43:39,Willowvale_Plant,METAL_DETECTOR_01,Detection Event,0.0
SEN_9443,2025-01-16 05:26:00,Willowvale_Plant,DOUGH_MIXER_02,Motor Vibration,2.59
SEN_11831,2025-04-30 04:02:28,Willowvale_Plant,OVEN_01,Oven Temperature,227.67
SEN_14765,2025-05-06 21:55:09,Willowvale_Plant,OVEN_01,Oven Temperature,202.16
SEN_8408,2025-04-28 10:16:23,Shepperton_Plant,METAL_DETECTOR_01,Detection Event,0.0
SEN_4871,2025-06-01 04:52:10,Shepperton_Plant,DOUGH_MIXER_01,Motor Vibration,3.24
SEN_15533,2025-04-22 18:36:28,Shepperton_Plant,OVEN_01,Oven Temperature,217.02
SEN_3644,2025-06-16 16:19:21,Shepperton_Plant,PACKAGING_LINE_01,Seal Integrity,89.91
SEN_17607,2025-01-13 00:17:11,Willowvale_Plant,DOUGH_MIXER_02,Motor Vibration,3.13
SEN_314,2025-01-26 09:03:34,Shepperton_Plant,CONVEYOR_01,Belt Speed,0.63
SEN_8632,2025-03-15 01:30:25,Shepperton_Plant,CONVEYOR_02,Belt Speed,1.5
SEN_5050,2025-06-27 03:52:36,Shepperton_Plant,PACKAGING_LINE_01,Seal Integrity,102.4
SEN_14889,2025-06-06 19:33:45,Willowvale_Plant,PACKAGING_LINE_01,Seal Integrity,107.26
SEN_6527,2025-07-03 13:51:10,Shepperton_Plant,CONVEYOR_01,Belt Speed,0.92
SEN_1329,2025-01-28 08:26:02,Willowvale_Plant,DOUGH_MIXER_01,Motor Vibration,3.57
