record_id,holiday_name,date,sku,region,qty_produced,qty_sold,demand_shift_factor,qty_leftover,sell_through_rate
HOLIDAY_REC_5793,Easter Monday,2025-04-21,Seed Loaf,Bulawayo,1002,860,1.26,142,0.858
HOLIDAY_REC_16398,Christmas Day,2025-12-25,Seed Loaf,Masvingo,2444,2291,1.26,153,0.937
HOLIDAY_REC_8378,Africa Day,2025-05-25,High Energy White,Gweru,894,805,1.16,89,0.9
HOLIDAY_REC_14130,Unity Day,2025-12-22,Seed Loaf,Harare,1120,1020,0.92,100,0.911
HOLIDAY_REC_16454,Christmas Day,2025-12-25,Seed Loaf,Bulawayo,2376,2116,1.13,260,0.891
HOLIDAY_REC_12961,Defense Forces Day,2025-08-13,Soft White,Mutare,837,726,0.99,111,0.867
HOLIDAY_REC_2550,National Youth Day,2025-02-21,High Energy White,Chitungwiza,2005,1917,1.09,88,0.956
HOLIDAY_REC_10173,Heroes Day,2025-08-12,Wholegrain Brown,Harare,625,607,1.11,18,0.971
HOLIDAY_REC_17694,Boxing Day,2025-12-26,Wholegrain Brown,Chitungwiza,1360,1256,1.12,104,0.924
HOLIDAY_REC_258,New Year's Day,2025-01-01,Family Loaf,Bulawayo,1868,1707,1.1,161,0.914
HOLIDAY_REC_8424,Africa Day,2025-05-25,Soft White,Masvingo,2158,1893,1.07,265,0.877
HOLIDAY_REC_4157,Independence Day,2025-04-18,High Energy White,Bulawayo,2333,2196,1.05,137,0.941
HOLIDAY_REC_8903,Africa Day,2025-05-25,High Energy Brown,Mutare,1007,914,1.02,93,0.908
HOLIDAY_REC_12760,Defense Forces Day,2025-08-13,Wholegrain Brown,Mutare,886,804,1.01,82,0.907
HOLIDAY_REC_8688,Africa Day,2025-05-25,Soft White,Bulawayo,1021,974,1.05,47,0.954
HOLIDAY_REC_7496,Workers Day,2025-05-01,High Energy White,Chitungwiza,980,906,1.18,74,0.924
HOLIDAY_REC_9665,Africa Day,2025-05-25,Wholegrain Brown,Mutare,1296,1120,1.15,176,0.864
HOLIDAY_REC_16266,Christmas Day,2025-12-25,Seed Loaf,Chitungwiza,1218,1118,1.08,100,0.918
HOLIDAY_REC_9860,Africa Day,2025-05-25,Seed Loaf,Bulawayo,2147,2122,1.15,25,0.988
HOLIDAY_REC_18016,Boxing Day,2025-12-26,High Energy Brown,Masvingo,1116,999,1.09,117,0.895
HOLIDAY_REC_3069,National Youth Day,2025-02-21,Whole Wheat,Mutare,907,893,1.04,14,0.985
HOLIDAY_REC_12585,Defense Forces Day,2025-08-13,Soft White,Masvingo,1777,1555,0.92,222,0.875
HOLIDAY_REC_13510,Defense Forces Day,2025-08-13,High Energy White,Harare,968,957,0.99,11,0.989
HOLIDAY_REC_3335,National Youth Day,2025-02-21,High Energy White,Mutare,1193,1189,1.06,4,0.997
HOLIDAY_REC_13195,Defense Forces Day,2025-08-13,Whole Wheat,Masvingo,1972,1783,1.08,189,0.904
HOLIDAY_REC_4476,Independence Day,2025-04-18,Soft White,Masvingo,1820,1743,0.93,77,0.958
HOLIDAY_REC_6286,Easter Monday,2025-04-21,High Energy Brown,Harare,1230,1143,1.28,87,0.929
HOLIDAY_REC_116,New Year's Day,2025-01-01,High Energy Brown,Mutare,1618,1472,1.07,146,0.91
HOLIDAY_REC_18707,Boxing Day,2025-12-26,Wholegrain Brown,Harare,785,681,1.14,104,0.868
HOLIDAY_REC_19154,Boxing Day,2025-12-26,Wholegrain Brown,Chitungwiza,2624,2284,1.12,340,0.87
HOLIDAY_REC_2954,National Youth Day,2025-02-21,Wholegrain Brown,Chitungwiza,728,665,1.17,63,0.913
HOLIDAY_REC_19211,Boxing Day,2025-12-26,Seed Loaf,Chitungwiza,862,854,1.27,8,0.991
HOLIDAY_REC_3949,Independence Day,2025-04-18,Wholegrain Brown,Gweru,708,692,1.01,16,0.977
HOLIDAY_REC_2406,National Youth Day,2025-02-21,Wholegrain Brown,Bulawayo,1933,1854,1.05,79,0.959
HOLIDAY_REC_5576,Easter Monday,2025-04-21,Seed Loaf,Bulawayo,2036,1966,1.24,70,0.966
HOLIDAY_REC_347,New Year's Day,2025-01-01,Family Loaf,Gweru,2424,2158,1.12,266,0.89
HOLIDAY_REC_16700,Christmas Day,2025-12-25,Whole Wheat,Masvingo,1682,1521,1.0,161,0.904
HOLIDAY_REC_16152,Christmas Day,2025-12-25,Wholegrain Brown,Gweru,2409,2244,1.08,165,0.932
HOLIDAY_REC_8345,Workers Day,2025-05-01,Family Loaf,Gweru,1782,1755,1.08,27,0.985
HOLIDAY_REC_17898,Boxing Day,2025-12-26,Family Loaf,Bulawayo,1236,1092,0.97,144,0.883
HOLIDAY_REC_16585,Christmas Day,2025-12-25,High Energy White,Mutare,1004,966,1.0,38,0.962
HOLIDAY_REC_1398,New Year's Day,2025-01-01,High Energy White,Chitungwiza,2528,2169,0.9,359,0.858
HOLIDAY_REC_6253,Easter Monday,2025-04-21,High Energy White,Chitungwiza,2388,2211,0.92,177,0.926
HOLIDAY_REC_3311,National Youth Day,2025-02-21,Soft White,Bulawayo,1109,1063,1.23,46,0.959
HOLIDAY_REC_13912,Unity Day,2025-12-22,High Energy White,Masvingo,1741,1625,1.05,116,0.933
HOLIDAY_REC_5934,Easter Monday,2025-04-21,Whole Wheat,Bulawayo,2170,1867,1.03,303,0.86
HOLIDAY_REC_9920,Africa Day,2025-05-25,High Energy Brown,Mutare,1353,1299,1.23,54,0.96
HOLIDAY_REC_2610,National Youth Day,2025-02-21,Soft White,Harare,1295,1174,1.04,121,0.907
HOLIDAY_REC_961,New Year's Day,2025-01-01,Soft White,Gweru,2696,2436,1.16,260,0.904
HOLIDAY_REC_201,New Year's Day,2025-01-01,Whole Wheat,Mutare,2251,2065,0.95,186,0.917
HOLIDAY_REC_17112,Christmas Day,2025-12-25,Whole Wheat,Mutare,764,675,1.01,89,0.884
HOLIDAY_REC_18174,Boxing Day,2025-12-26,Family Loaf,Harare,2540,2284,0.99,256,0.899
HOLIDAY_REC_9723,Africa Day,2025-05-25,Soft White,Chitungwiza,1766,1697,0.91,69,0.961
HOLIDAY_REC_323,New Year's Day,2025-01-01,Wholegrain Brown,Gweru,1401,1283,1.06,118,0.916
HOLIDAY_REC_11938,Defense Forces Day,2025-08-13,High Energy Brown,Mutare,736,640,0.93,96,0.87
HOLIDAY_REC_1351,New Year's Day,2025-01-01,High Energy White,Harare,2380,2283,1.13,97,0.959
HOLIDAY_REC_11319,Heroes Day,2025-08-12,Wholegrain Brown,Bulawayo,2440,2373,1.24,67,0.973
HOLIDAY_REC_13813,Unity Day,2025-12-22,Seed Loaf,Harare,1253,1220,0.97,33,0.974
HOLIDAY_REC_10785,Heroes Day,2025-08-12,Whole Wheat,Masvingo,1111,1077,1.2,34,0.969
HOLIDAY_REC_17600,Boxing Day,2025-12-26,Wholegrain Brown,Harare,839,741,1.16,98,0.883
HOLIDAY_REC_912,New Year's Day,2025-01-01,High Energy Brown,Mutare,1178,1079,1.02,99,0.916
HOLIDAY_REC_10952,Heroes Day,2025-08-12,Seed Loaf,Harare,761,651,1.05,110,0.855
HOLIDAY_REC_8846,Africa Day,2025-05-25,Whole Wheat,Masvingo,1198,1109,0.95,89,0.926
HOLIDAY_REC_14062,Unity Day,2025-12-22,Seed Loaf,Gweru,716,701,1.22,15,0.979
HOLIDAY_REC_10896,Heroes Day,2025-08-12,High Energy White,Gweru,747,685,1.02,62,0.917
HOLIDAY_REC_3478,Independence Day,2025-04-18,Seed Loaf,Chitungwiza,1846,1819,1.14,27,0.985
HOLIDAY_REC_3380,National Youth Day,2025-02-21,High Energy Brown,Bulawayo,559,552,1.02,7,0.987
HOLIDAY_REC_7402,Workers Day,2025-05-01,High Energy Brown,Harare,1877,1760,0.95,117,0.938
HOLIDAY_REC_18387,Boxing Day,2025-12-26,Wholegrain Brown,Mutare,1915,1813,1.06,102,0.947
HOLIDAY_REC_16118,Christmas Day,2025-12-25,Whole Wheat,Bulawayo,1039,934,1.29,105,0.899
HOLIDAY_REC_8744,Africa Day,2025-05-25,Seed Loaf,Mutare,1629,1584,0.97,45,0.972
HOLIDAY_REC_6706,Easter Monday,2025-04-21,Whole Wheat,Chitungwiza,950,873,0.96,77,0.919
HOLIDAY_REC_15559,Unity Day,2025-12-22,High Energy Brown,Harare,2048,1840,0.91,208,0.898
HOLIDAY_REC_4402,Independence Day,2025-04-18,Seed Loaf,Gweru,1862,1614,1.19,248,0.867
HOLIDAY_REC_5672,Easter Monday,2025-04-21,Seed Loaf,Mutare,1076,947,1.12,129,0.88
HOLIDAY_REC_5928,Easter Monday,2025-04-21,Wholegrain Brown,Gweru,1697,1515,1.01,182,0.893
HOLIDAY_REC_3512,Independence Day,2025-04-18,Whole Wheat,Masvingo,828,705,0.94,123,0.851
HOLIDAY_REC_15537,Unity Day,2025-12-22,Whole Wheat,Chitungwiza,1545,1539,1.09,6,0.996
HOLIDAY_REC_6089,Easter Monday,2025-04-21,Soft White,Gweru,1540,1513,1.26,27,0.982
HOLIDAY_REC_15449,Unity Day,2025-12-22,Seed Loaf,Harare,2091,2085,1.27,6,0.997
HOLIDAY_REC_15612,Unity Day,2025-12-22,High Energy Brown,Mutare,1030,1027,1.24,3,0.997
HOLIDAY_REC_15780,Christmas Day,2025-12-25,Soft White,Masvingo,2524,2454,1.07,70,0.972
HOLIDAY_REC_467,New Year's Day,2025-01-01,High Energy White,Bulawayo,1668,1645,1.29,23,0.986
