record_id,timestamp,plant_id,store_id,sku,qty_in,qty_out,balance_before,balance_after,movement_type,reason_code,expiry_date,route_id,qty out 
INV_502796,2025-02-22 17:46:06,Willowvale_Plant,,Soft White,18,0,19151,19169,stock_adjustment,Expired Waste,2025-02-27,,0
INV_512134,2025-02-11 09:32:38,Shepperton_Plant,,Soft White,0,1360,21741,20381,dispatch,Damaged,2025-02-16,RT_031,1360
INV_517739,2025-04-17 20:37:20,,STORE_021,Soft White,0,273,-588,-861,store_sale,Manual Correction,2025-04-22,,273
INV_503287,2025-01-29 18:51:51,Shepperton_Plant,,Family Loaf,38,0,-3206,-3168,stock_adjustment,Damaged,2025-02-05,,0
INV_505858,2025-05-15 14:56:40,Willowvale_Plant,,High Energy Brown,0,1448,18169,16721,dispatch,Expired Waste,2025-05-20,RT_033,1448
INV_515285,2025-07-05 12:47:29,,STORE_143,Whole Wheat,31,0,170,201,return_from_store,Sale,2025-07-11,,0
INV_509090,2025-07-12 01:48:11,,STORE_060,Soft White,92,0,-128,-36,return_from_store,Damaged,2025-07-17,,0
INV_503073,2025-05-10 15:02:27,Shepperton_Plant,,Wholegrain Brown,0,61,18895,18834,waste,Expired Waste,2025-05-15,,61
INV_511988,2025-07-13 14:29:55,Shepperton_Plant,,Whole Wheat,0,75,51353,51278,waste,Return from Store,2025-07-19,,75
INV_503269,2025-06-01 03:30:40,Shepperton_Plant,,Soft White,676,0,11727,12403,production,Production,2025-06-06,,0
INV_506527,2025-02-06 02:47:32,Willowvale_Plant,,High Energy Brown,0,69,23444,23375,waste,Manual Correction,2025-02-11,,69
INV_507681,2025-05-19 11:57:31,,STORE_014,High Energy Brown,96,0,137,233,return_from_store,Expired Waste,2025-05-24,,0
INV_516987,2025-07-29 22:11:21,,STORE_125,Soft White,94,0,-257,-163,return_from_store,Production,2025-08-03,,0
INV_512618,2025-05-27 14:42:50,Shepperton_Plant,,Wholegrain Brown,0,1004,46268,45264,dispatch,Sale,2025-06-01,RT_014,1004
INV_508426,2025-04-06 15:06:09,Willowvale_Plant,,Seed Loaf,17,0,9471,9488,stock_adjustment,Return from Store,2025-04-12,,0
INV_504983,2025-05-18 11:18:10,Willowvale_Plant,,High Energy Brown,0,134,19020,18886,waste,Sale,2025-05-23,,134
INV_509960,2025-05-13 08:43:10,Shepperton_Plant,,High Energy White,0,189,18509,18320,waste,Sale,2025-05-18,,189
INV_502684,2025-06-26 07:07:48,Willowvale_Plant,,Wholegrain Brown,1715,0,8895,10610,production,Manual Correction,2025-07-01,,0
INV_509442,2025-06-27 18:56:21,Willowvale_Plant,,Soft White,1735,0,58829,60564,production,Manual Correction,2025-07-02,,0
INV_511830,2025-05-20 23:51:19,Willowvale_Plant,,High Energy White,1072,0,33193,34265,production,Dispatch to Store,2025-05-25,,0
INV_514764,2025-01-01 13:30:48,Shepperton_Plant,,Soft White,0,43,23827,23784,stock_adjustment,Shrinkage,2025-01-06,,43
INV_508407,2025-02-06 23:09:56,Shepperton_Plant,,Seed Loaf,767,0,29167,29934,production,Damaged,2025-02-12,,0
INV_504870,2025-04-18 04:21:53,Willowvale_Plant,,Soft White,0,1058,30719,29661,dispatch,Expired Waste,2025-04-23,RT_034,1058
INV_515532,2025-01-12 02:23:32,Willowvale_Plant,,Whole Wheat,1565,0,45416,46981,production,Sale,2025-01-18,,0
INV_503643,2025-01-12 06:28:57,Willowvale_Plant,,Seed Loaf,0,387,7727,7340,dispatch,Shrinkage,2025-01-18,RT_003,387
INV_517606,2025-06-29 13:20:32,,STORE_037,Soft White,101,0,-500,-399,return_from_store,Manual Correction,2025-07-04,,0
INV_500313,2025-07-25 19:24:22,Shepperton_Plant,,Wholegrain Brown,1203,0,-2762,-1559,production,Dispatch to Store,2025-07-30,,0
INV_508631,2025-03-31 06:36:49,Willowvale_Plant,,High Energy White,0,1225,29269,28044,dispatch,Sale,2025-04-05,RT_044,1225
INV_505049,2025-03-15 07:09:21,,STORE_083,Whole Wheat,108,0,0,108,return_from_store,Expired Waste,2025-03-21,,0
INV_514888,2025-05-21 20:49:47,Shepperton_Plant,,Family Loaf,0,377,95926,95549,dispatch,Manual Correction,2025-05-28,RT_054,377
