qc_id,timestamp,batch_id,sku,parameter,value,pass_fail,notes,value 
QC_502796,2025-06-05 09:45:05,BATCH_12932,Whole Wheat,crust_color_level,0.16,fail,Color inconsistency,0.16
QC_512134,2025-06-22 07:27:40,BATCH_16044,Seed Loaf,slice_uniformity_mm,2.97,pass,,2.97
QC_517739,2025-05-22 19:36:24,BATCH_17913,Family Loaf,texture_score,3.81,pass,,3.81
QC_503287,2025-04-19 19:18:45,BATCH_13095,Seed Loaf,package_seal_strength,91.12,pass,,91.12
QC_505858,2025-02-09 18:46:12,BATCH_13952,Soft White,texture_score,2.65,pass,,2.65
QC_515285,2025-05-22 14:35:08,BATCH_17095,Family Loaf,weight_grams,711.71,pass,,711.71
QC_509090,2025-03-11 17:24:53,BATCH_15030,Whole Wheat,package_seal_strength,98.75,pass,,98.75
QC_503073,2025-05-06 17:49:07,BATCH_13024,Seed Loaf,slice_uniformity_mm,5.83,pass,,5.83
QC_511988,2025-02-08 06:13:30,BATCH_15996,Seed Loaf,crust_color_level,-0.28,fail,Color inconsistency,-0.28
QC_503269,2025-05-19 08:05:14,BATCH_13089,High Energy White,weight_grams,712.88,pass,,712.88
QC_506527,2025-03-03 05:22:10,BATCH_14175,Whole Wheat,slice_uniformity_mm,3.91,pass,,3.91
QC_507681,2025-05-12 09:45:40,BATCH_14560,High Energy White,slice_uniformity_mm,3.05,pass,,3.05
QC_516987,2025-07-02 22:36:07,BATCH_17662,Family Loaf,slice_uniformity_mm,7.23,fail,Seal issue detected,7.23
QC_512618,2025-01-13 06:12:45,BATCH_16206,Wholegrain Brown,package_seal_strength,104.11,pass,,104.11
QC_508426,2025-04-13 11:02:25,BATCH_14808,Wholegrain Brown,texture_score,9.28,pass,,9.28
QC_504983,2025-06-07 12:55:12,BATCH_13661,Wholegrain Brown,slice_uniformity_mm,8.12,fail,Seal issue detected,8.12
QC_509960,2025-01-27 22:18:49,BATCH_15320,Wholegrain Brown,crust_color_level,6.55,fail,Below expected tolerance,6.55
QC_502684,2025-02-23 02:32:14,BATCH_12894,Wholegrain Brown,internal_temp_c,94.17,pass,,94.17
QC_509442,2025-01-21 15:33:26,BATCH_15147,Seed Loaf,internal_temp_c,96.48,pass,,96.48
QC_511830,2025-04-26 18:31:47,BATCH_15943,High Energy Brown,texture_score,6.41,pass,,6.41
QC_514764,2025-02-16 04:50:18,BATCH_16921,Wholegrain Brown,package_seal_strength,84.46,pass,,84.46
QC_508407,2025-04-29 02:06:36,BATCH_14802,Whole Wheat,package_seal_strength,78.81,fail,Above tolerance range,78.81
QC_504870,2025-03-04 16:39:35,BATCH_13623,Wholegrain Brown,texture_score,0.43,fail,Seal issue detected,0.43
QC_515532,2025-01-01 01:47:44,BATCH_17177,Seed Loaf,texture_score,0.08,fail,Below expected tolerance,0.08
QC_503643,2025-05-04 14:24:03,BATCH_13214,Family Loaf,package_seal_strength,101.6,pass,,101.6
QC_517606,2025-01-17 04:41:38,BATCH_17868,Seed Loaf,moisture_percent,39.71,fail,Above tolerance range,39.71
QC_500313,2025-04-03 06:16:19,BATCH_12104,Wholegrain Brown,package_seal_strength,101.11,pass,,101.11
QC_508631,2025-03-16 09:34:59,BATCH_14877,Wholegrain Brown,weight_grams,681.1,pass,,681.1
QC_505049,2025-04-12 18:36:20,BATCH_13683,High Energy White,package_seal_strength,81.06,pass,,81.06
QC_514888,2025-02-16 21:42:59,BATCH_16962,Soft White,weight_grams,697.42,pass,,697.42
QC_506526,2025-03-03 05:22:10,BATCH_14175,Whole Wheat,crust_color_level,1.53,pass,,1.53
QC_501328,2025-02-07 18:55:08,BATCH_12442,Wholegrain Brown,internal_temp_c,91.81,fail,Below expected tolerance,91.81
QC_501315,2025-03-19 14:47:04,BATCH_12438,Seed Loaf,texture_score,7.29,pass,,7.29
QC_501870,2025-07-13 21:08:49,BATCH_12623,High Energy White,slice_uniformity_mm,6.1,fail,Seal issue detected,6.1
QC_507110,2025-06-27 09:02:19,BATCH_14370,Wholegrain Brown,moisture_percent,29.07,fail,Below expected tolerance,29.07
QC_516873,2025-02-18 05:18:09,BATCH_17624,Seed Loaf,texture_score,1.85,pass,,1.85
QC_507578,2025-03-11 20:18:42,BATCH_14526,High Energy White,texture_score,7.29,pass,,7.29
QC_500290,2025-03-22 00:42:30,BATCH_12096,Wholegrain Brown,crust_color_level,1.53,pass,,1.53
QC_500960,2025-05-12 10:23:25,BATCH_12320,Wholegrain Brown,internal_temp_c,92.21,fail,Above tolerance range,92.21
QC_506433,2025-01-28 22:46:42,BATCH_14144,Soft White,texture_score,10.83,fail,Seal issue detected,10.83
QC_509245,2025-05-13 04:47:37,BATCH_15081,High Energy Brown,texture_score,6.82,pass,,6.82
QC_516851,2025-04-17 23:56:01,BATCH_17617,High Energy Brown,internal_temp_c,98.21,pass,,98.21
QC_502388,2025-04-01 05:38:44,BATCH_12796,Soft White,slice_uniformity_mm,3.54,pass,,3.54
QC_513693,2025-03-15 20:11:18,BATCH_16564,Family Loaf,slice_uniformity_mm,5.15,pass,,5.15
QC_509453,2025-04-07 02:25:43,BATCH_15151,Whole Wheat,internal_temp_c,98.14,pass,,98.14
QC_511155,2025-04-15 06:06:51,BATCH_15718,Soft White,internal_temp_c,101.04,fail,Seal issue detected,101.04
QC_513837,2025-02-12 10:29:29,BATCH_16612,Wholegrain Brown,texture_score,11.37,fail,Internal temperature deviation,11.37
QC_508147,2025-06-03 16:07:27,BATCH_14715,High Energy White,texture_score,6.73,pass,,6.73
QC_515182,2025-04-09 19:00:40,BATCH_17060,Soft White,package_seal_strength,113.08,pass,,113.08
QC_516986,2025-07-02 22:36:07,BATCH_17662,Family Loaf,internal_temp_c,92.59,fail,Color inconsistency,92.59
QC_508626,2025-05-04 11:56:56,BATCH_14875,Family Loaf,texture_score,4.15,pass,,4.15
QC_507317,2025-01-14 11:33:15,BATCH_14439,Family Loaf,weight_grams,699.03,pass,,699.03
QC_501453,2025-06-08 02:23:03,BATCH_12484,Whole Wheat,crust_color_level,6.44,fail,Color inconsistency,6.44
QC_505194,2025-01-03 10:50:30,BATCH_13731,High Energy Brown,internal_temp_c,92.46,fail,Internal temperature deviation,92.46
QC_503571,2025-02-24 15:17:22,BATCH_13190,Soft White,crust_color_level,5.38,fail,Seal issue detected,5.38
QC_510342,2025-02-13 23:38:35,BATCH_15447,Wholegrain Brown,crust_color_level,-1.45,fail,Seal issue detected,-1.45
QC_507949,2025-07-29 14:46:28,BATCH_14649,Wholegrain Brown,package_seal_strength,120.38,fail,Color inconsistency,120.38
QC_506013,2025-05-09 21:11:14,BATCH_14004,Soft White,package_seal_strength,99.48,pass,,99.48
QC_501163,2025-05-16 17:18:18,BATCH_12387,High Energy Brown,weight_grams,690.03,pass,,690.03
QC_516680,2025-07-04 16:18:53,BATCH_17560,Whole Wheat,package_seal_strength,104.9,pass,,104.9
QC_505359,2025-03-10 00:00:00,BATCH_13786,Soft White,crust_color_level,3.02,pass,,3.02
QC_512993,2025-04-03 00:33:26,BATCH_16331,Family Loaf,package_seal_strength,100.49,pass,,100.49
QC_509272,2025-04-09 16:50:35,BATCH_15090,Family Loaf,slice_uniformity_mm,8.19,fail,Below expected tolerance,8.19
QC_504230,2025-05-10 06:01:03,BATCH_13410,Family Loaf,weight_grams,701.56,pass,,701.56
QC_502718,2025-05-26 15:17:18,BATCH_12906,Seed Loaf,weight_grams,691.97,pass,,691.97
QC_516425,2025-07-28 07:30:01,BATCH_17475,High Energy White,package_seal_strength,77.72,fail,Internal temperature deviation,77.72
QC_515067,2025-07-27 17:04:46,BATCH_17022,Wholegrain Brown,package_seal_strength,85.6,pass,,85.6
QC_515660,2025-03-21 04:17:03,BATCH_17220,Whole Wheat,texture_score,9.0,pass,,9.0
QC_511689,2025-02-19 19:27:57,BATCH_15896,Whole Wheat,weight_grams,702.8,pass,,702.8
QC_509902,2025-02-12 09:19:00,BATCH_15300,High Energy Brown,weight_grams,716.3,pass,,716.3
QC_500708,2025-03-09 17:59:44,BATCH_12236,Whole Wheat,slice_uniformity_mm,0.43,fail,Internal temperature deviation,0.43
QC_506015,2025-06-12 23:50:10,BATCH_14005,High Energy Brown,slice_uniformity_mm,1.81,fail,Seal issue detected,1.81
QC_502585,2025-05-05 10:10:40,BATCH_12861,Whole Wheat,moisture_percent,41.22,fail,Internal temperature deviation,41.22
QC_511396,2025-06-08 01:36:45,BATCH_15798,Soft White,crust_color_level,-0.51,fail,Seal issue detected,-0.51
QC_513939,2025-02-27 22:20:31,BATCH_16646,Family Loaf,internal_temp_c,98.3,pass,,98.3
QC_504032,2025-06-29 08:22:17,BATCH_13344,High Energy Brown,package_seal_strength,104.46,pass,,104.46
QC_507750,2025-05-07 12:17:05,BATCH_14583,Wholegrain Brown,weight_grams,682.64,pass,,682.64
QC_504665,2025-03-01 15:40:48,BATCH_13555,Whole Wheat,texture_score,5.17,pass,,5.17
QC_501632,2025-07-13 17:03:33,BATCH_12544,Soft White,texture_score,5.56,pass,,5.56
QC_508692,2025-04-15 19:35:48,BATCH_14897,Family Loaf,crust_color_level,1.07,pass,,1.07
QC_508454,2025-07-20 02:55:29,BATCH_14818,Family Loaf,slice_uniformity_mm,1.67,fail,Below expected tolerance,1.67
QC_507792,2025-06-26 00:03:54,BATCH_14597,Seed Loaf,moisture_percent,33.84,pass,,33.84
QC_503886,,BATCH_13295,Family Loaf,package_seal_strength,108.83,pass,,108.83
QC_514278,2025-03-01 09:06:58,BATCH_16759,High Energy White,package_seal_strength,78.89,fail,Above tolerance range,78.89
QC_502360,2025-01-07 14:47:30,BATCH_12786,High Energy Brown,crust_color_level,6.3,fail,Seal issue detected,6.3
QC_505271,2025-07-25 21:33:20,BATCH_13757,High Energy Brown,package_seal_strength,85.97,pass,,85.97
QC_512603,2025-01-03 04:31:13,BATCH_16201,High Energy White,crust_color_level,4.91,pass,,4.91
QC_512463,2025-01-08 22:25:03,BATCH_16154,Family Loaf,weight_grams,694.36,pass,,694.36
QC_503669,2025-03-05 12:51:04,BATCH_13223,High Energy White,package_seal_strength,99.89,pass,,99.89
QC_502281,2025-02-05 19:30:35,BATCH_12760,High Energy Brown,crust_color_level,1.41,pass,,1.41
QC_516059,2025-02-16 16:44:09,BATCH_17353,Soft White,moisture_percent,35.68,pass,,35.68
QC_501087,2025-03-18 08:38:39,BATCH_12362,Seed Loaf,moisture_percent,28.84,fail,Color inconsistency,28.84
QC_510753,2025-06-15 20:38:10,BATCH_15584,Whole Wheat,internal_temp_c,96.65,pass,,96.65
QC_510786,2025-01-24 07:26:57,BATCH_15595,Wholegrain Brown,weight_grams,721.2,fail,Below expected tolerance,721.2
QC_500200,2025-07-30 16:18:08,BATCH_12066,Family Loaf,slice_uniformity_mm,5.2,pass,,5.2
QC_507298,2025-04-04 02:24:06,BATCH_14432,Family Loaf,slice_uniformity_mm,4.6,pass,,4.6
QC_502202,2025-07-07 12:55:05,BATCH_12734,High Energy Brown,moisture_percent,34.81,pass,,34.81
QC_509515,2025-06-06 23:07:46,BATCH_15171,High Energy White,weight_grams,720.88,fail,Color inconsistency,720.88
QC_514129,2025-03-06 09:10:32,BATCH_16709,Soft White,package_seal_strength,117.52,pass,,117.52
QC_502715,2025-07-24 11:45:11,BATCH_12905,Soft White,package_seal_strength,86.62,pass,,86.62
QC_512778,2025-07-22 22:21:35,BATCH_16259,High Energy White,texture_score,-1.35,fail,Internal temperature deviation,-1.35
QC_509543,2025-05-23 12:13:49,BATCH_15181,High Energy Brown,moisture_percent,30.46,fail,Color inconsistency,30.46
QC_506110,2025-03-13 05:35:12,BATCH_14036,Soft White,moisture_percent,35.42,pass,,35.42
QC_508574,2025-07-19 07:05:20,BATCH_14858,High Energy White,crust_color_level,5.28,fail,Above tolerance range,5.28
QC_515940,2025-07-02 21:30:31,BATCH_17313,High Energy Brown,slice_uniformity_mm,1.88,fail,Above tolerance range,1.88
QC_508794,2025-07-15 13:16:37,BATCH_14931,Seed Loaf,package_seal_strength,118.78,pass,,118.78
QC_517252,2025-06-23 21:52:20,BATCH_17750,High Energy Brown,texture_score,-1.25,fail,Below expected tolerance,-1.25
QC_500322,2025-01-11 02:52:51,BATCH_12107,Family Loaf,crust_color_level,2.81,pass,,2.81
QC_512309,2025-03-01 07:50:19,BATCH_16103,Whole Wheat,weight_grams,704.39,pass,,704.39
QC_505019,2025-07-16 18:51:05,BATCH_13673,Seed Loaf,slice_uniformity_mm,4.79,pass,,4.79
QC_506690,2025-06-28 15:00:22,BATCH_14230,High Energy White,package_seal_strength,105.08,pass,,105.08
QC_501429,2025-07-29 14:26:53,BATCH_12476,High Energy White,texture_score,-0.09,fail,Color inconsistency,-0.09
QC_512586,2025-07-02 17:14:19,BATCH_16195,Whole Wheat,texture_score,4.44,pass,,4.44
QC_510821,2025-01-24 20:03:05,BATCH_15607,Family Loaf,package_seal_strength,93.55,pass,,93.55
QC_509922,2025-04-24 03:51:57,BATCH_15307,Soft White,moisture_percent,31.91,pass,,31.91
QC_515556,2025-07-09 18:32:32,BATCH_17185,Seed Loaf,weight_grams,713.32,pass,,713.32
QC_503234,2025-01-09 00:09:17,BATCH_13078,Whole Wheat,slice_uniformity_mm,7.66,fail,Internal temperature deviation,7.66
QC_504450,2025-07-28 06:24:36,BATCH_13483,High Energy White,slice_uniformity_mm,3.16,pass,,3.16
QC_503595,2025-07-23 06:29:08,BATCH_13198,High Energy Brown,moisture_percent,29.29,fail,Color inconsistency,29.29
QC_501355,2025-02-13 16:00:11,BATCH_12451,Soft White,internal_temp_c,99.86,fail,Seal issue detected,99.86
QC_516597,2025-01-27 16:23:53,BATCH_17532,High Energy White,slice_uniformity_mm,0.55,fail,Color inconsistency,0.55
QC_509808,2025-06-01 03:30:40,BATCH_15269,Family Loaf,moisture_percent,30.66,fail,Below expected tolerance,30.66
QC_505598,2025-05-19 18:54:52,BATCH_13866,High Energy Brown,package_seal_strength,87.17,pass,,87.17
QC_504904,2025-01-31 09:45:44,BATCH_13634,Soft White,moisture_percent,29.28,fail,Internal temperature deviation,29.28
QC_509791,2025-01-09 00:28:44,BATCH_15263,Soft White,weight_grams,714.87,pass,,714.87
QC_512114,2025-01-24 09:37:15,BATCH_16038,High Energy White,internal_temp_c,98.85,pass,,98.85
QC_509690,2025-05-18 22:42:09,BATCH_15230,Family Loaf,internal_temp_c,98.8,pass,,98.8
QC_509693,2025-04-05 07:04:07,BATCH_15231,Whole Wheat,slice_uniformity_mm,0.05,fail,Below expected tolerance,0.05
QC_515232,2025-03-31 00:28:52,BATCH_17077,High Energy Brown,moisture_percent,33.73,pass,,33.73
QC_515575,2025-05-26 20:44:54,BATCH_17191,Wholegrain Brown,internal_temp_c,99.0,pass,,99.0
QC_510579,2025-06-01 08:25:26,BATCH_15526,High Energy Brown,crust_color_level,-0.95,fail,Below expected tolerance,-0.95
QC_508255,2025-04-05 12:58:46,BATCH_14751,High Energy White,moisture_percent,28.64,fail,Seal issue detected,28.64
