return_id,timestamp,route_id,retailer_id,sku,qty_returned,reason_code,notes,temperature_at_return,handling_condition,qty returned 
RET_206378,2025-05-02 22:47:53,RT_052,STORE_089,Wholegrain Brown,91,Expired,,27.4,Condensation,91
RET_206647,2025-05-30 02:54:45,RT_056,STORE_086,High Energy White,57,Mould Growth,,32.9,Temperature Abuse,57
RET_205264,2025-03-27 21:43:55,RT_024,STORE_196,High Energy Brown,29,Wrong Delivery,Packaging issue,26.5,Poor Handling,29
RET_207690,2025-03-12 10:58:14,RT_015,STORE_081,High Energy Brown,111,Returned Unsold,,24.0,Poor Handling,111
RET_205404,2025-04-16 21:22:18,RT_045,STORE_078,Family Loaf,77,Expired,,25.3,Temperature Abuse,77
RET_204047,2025-04-05 02:56:02,RT_062,STORE_040,High Energy White,33,Mould Growth,,22.3,Temperature Abuse,33
RET_208372,2025-03-06 04:03:43,RT_058,STORE_073,Soft White,65,Expired,Damaged on shelf,23.0,Condensation,65
RET_206270,2025-05-04 01:59:40,RT_014,STORE_157,Whole Wheat,89,Stale,Late delivery,25.6,Normal,89
RET_212006,2025-07-02 02:19:21,RT_061,STORE_162,Soft White,27,Wrong Delivery,Late delivery,27.5,Condensation,27
RET_203842,2025-07-26 04:43:54,RT_054,STORE_172,Family Loaf,117,Returned Unsold,,18.2,Poor Handling,117
RET_212268,2025-02-15 09:41:14,RT_047,STORE_192,Family Loaf,78,Returned Unsold,Packaging issue,23.8,Poor Handling,78
RET_206577,2025-03-05 14:33:12,RT_006,STORE_049,Soft White,98,Expired,Packaging issue,27.2,Exposure to Sun,98
RET_203000,2025-07-13 09:17:46,RT_035,STORE_011,Seed Loaf,52,Mould Growth,Damaged on shelf,25.2,Temperature Abuse,52
RET_204655,2025-01-27 05:49:17,RT_004,STORE_164,Seed Loaf,96,Returned Unsold,Customer complaints,25.9,Normal,96
RET_210477,2025-07-26 04:25:56,RT_023,STORE_116,High Energy White,39,Mould Growth,Packaging issue,27.7,Temperature Abuse,39
RET_205226,2025-01-17 08:46:07,RT_009,STORE_045,Seed Loaf,36,Mould Growth,,26.3,Condensation,36
RET_204691,2025-03-20 07:29:34,RT_017,STORE_075,High Energy White,77,Crushed/Squashed,Late delivery,19.0,Poor Handling,77
RET_200720,2025-05-08 23:39:23,RT_004,STORE_075,Family Loaf,68,Returned Unsold,Damaged on shelf,36.7,Exposure to Sun,68
RET_207325,2025-01-03 20:34:49,RT_047,STORE_080,Wholegrain Brown,1,Mould Growth,Customer complaints,40.9,Poor Handling,1
RET_212799,2025-01-12 19:53:03,RT_068,STORE_037,High Energy White,17,Mould Growth,,19.1,Poor Handling,17
RET_201799,2025-06-22 19:31:55,RT_035,STORE_088,High Energy Brown,102,Mould Growth,Damaged on shelf,26.2,Exposure to Sun,102
RET_209482,2025-07-26 12:04:17,RT_058,STORE_147,High Energy White,105,Wrong Delivery,,18.2,Poor Handling,105
RET_206412,2025-07-23 12:30:56,RT_030,STORE_039,High Energy Brown,78,Expired,Customer complaints,25.9,Poor Handling,78
RET_212625,2025-06-10 10:58:41,RT_002,STORE_143,Wholegrain Brown,1,Returned Unsold,Packaging issue,22.6,Poor Handling,1
RET_208818,2025-04-01 01:50:34,RT_048,STORE_081,Whole Wheat,30,Mould Growth,Customer complaints,18.5,Poor Handling,30
RET_203679,2025-06-01 01:27:50,RT_037,STORE_136,Wholegrain Brown,101,Damaged Packaging,,23.6,Temperature Abuse,101
RET_201413,2025-03-19 23:28:40,RT_010,STORE_175,Seed Loaf,57,Returned Unsold,,22.7,Exposure to Sun,57
RET_202589,2025-07-19 15:02:25,RT_010,STORE_146,High Energy Brown,37,Damaged Packaging,Customer complaints,18.8,Poor Handling,37
RET_208624,2025-03-21 05:41:30,RT_031,STORE_080,Whole Wheat,5,Mould Growth,Late delivery,22.8,Poor Handling,5
RET_205478,2025-02-01 23:07:03,RT_040,STORE_006,High Energy White,58,Damaged Packaging,Late delivery,19.3,Normal,58
RET_203578,2025-01-17 06:35:50,RT_010,STORE_062,Whole Wheat,27,Damaged Packaging,Packaging issue,22.7,Normal,27
RET_208657,2025-04-06 04:39:27,RT_012,STORE_131,Whole Wheat,54,Stale,Packaging issue,21.6,Exposure to Sun,54
RET_207816,2025-01-14 19:35:28,RT_004,STORE_177,Wholegrain Brown,28,Crushed/Squashed,,27.7,Condensation,28
RET_201844,2025-02-27 07:34:35,RT_062,STORE_147,Soft White,18,Stale,Late delivery,20.1,Exposure to Sun,18
RET_207731,2025-05-06 01:45:22,RT_049,STORE_158,Soft White,89,Damaged Packaging,,41.6,Condensation,89
RET_205549,2025-05-24 03:01:45,RT_059,STORE_030,High Energy Brown,16,Expired,Damaged on shelf,25.5,Poor Handling,16
RET_211124,2025-04-10 20:18:06,RT_015,STORE_035,Family Loaf,242,Crushed/Squashed,Late delivery,25.5,Normal,242
RET_202174,2025-06-03 07:36:41,RT_042,STORE_021,High Energy Brown,40,Stale,Packaging issue,25.2,Exposure to Sun,40
RET_202144,2025-01-28 22:46:42,RT_039,STORE_020,Family Loaf,84,Returned Unsold,Customer complaints,25.7,Exposure to Sun,84
RET_200099,2025-03-17 08:27:05,RT_057,STORE_089,Wholegrain Brown,78,Mould Growth,Late delivery,24.1,Condensation,78
RET_203058,2025-07-22 20:04:28,RT_061,STORE_069,Family Loaf,4,Stale,,25.5,Temperature Abuse,4
RET_201923,2025-01-29 10:14:30,RT_010,STORE_101,Soft White,31,Returned Unsold,,26.3,Temperature Abuse,31
RET_211230,2025-07-16 11:57:07,RT_020,STORE_115,Family Loaf,117,Mould Growth,,27.5,Poor Handling,117
RET_200902,2025-03-08 12:40:35,RT_017,STORE_054,High Energy White,115,Stale,Damaged on shelf,22.4,Condensation,115
RET_205639,2025-01-10 00:25:05,RT_034,STORE_029,Whole Wheat,106,Damaged Packaging,,21.0,Normal,106
RET_212202,2025-01-25 16:38:40,RT_042,STORE_127,Seed Loaf,56,Wrong Delivery,Customer complaints,18.3,Exposure to Sun,56
RET_204509,2025-01-12 12:38:13,RT_002,STORE_082,Family Loaf,111,Stale,,23.5,Poor Handling,111
RET_203469,2025-02-09 17:42:52,RT_027,STORE_155,Family Loaf,12,Stale,,30.4,Poor Handling,12
RET_210242,2025-03-20 07:01:22,RT_030,STORE_103,High Energy White,111,Mould Growth,,19.0,Temperature Abuse,111
RET_210086,2025-02-07 04:34:34,RT_018,STORE_074,High Energy White,8,Wrong Delivery,,22.0,Temperature Abuse,8
RET_209593,2025-07-04 23:47:19,RT_046,STORE_055,Wholegrain Brown,21,Stale,Packaging issue,20.3,Normal,21
RET_206814,2025-02-14 07:53:14,RT_002,STORE_030,Whole Wheat,9,Crushed/Squashed,Damaged on shelf,27.3,Exposure to Sun,9
RET_200353,2025-04-30 03:04:18,RT_032,STORE_184,Wholegrain Brown,73,Wrong Delivery,,27.1,Normal,73
RET_212429,2025-01-04 15:48:16,RT_014,STORE_108,Seed Loaf,7,Expired,Customer complaints,18.5,Normal,7
RET_209976,2025-07-22 00:32:47,RT_066,STORE_115,Family Loaf,73,Crushed/Squashed,,20.9,Condensation,73
RET_210993,2025-05-27 10:22:27,RT_002,STORE_124,Whole Wheat,6,Stale,Customer complaints,19.0,Condensation,6
RET_208494,2025-06-04 00:13:18,RT_008,STORE_012,Family Loaf,88,Wrong Delivery,Customer complaints,18.8,Poor Handling,88
RET_212123,2025-01-20 02:11:18,RT_013,STORE_022,Soft White,95,Stale,Damaged on shelf,20.1,Exposure to Sun,95
RET_212611,2025-01-22 10:29:35,RT_029,STORE_199,Seed Loaf,59,Wrong Delivery,Customer complaints,27.6,Poor Handling,59
RET_212168,2025-06-12 16:11:02,RT_014,STORE_078,Wholegrain Brown,17,Crushed/Squashed,,21.8,Temperature Abuse,17
RET_210797,2025-03-25 05:14:23,RT_029,STORE_126,Family Loaf,104,Returned Unsold,Packaging issue,19.8,Normal,104
