route_id,route_name,vehicle_id,driver_id,estimated_time_min,distance_km,stops_list,region,trip_start_window,trip_end_window,load_capacity_kg
RT_001,Harare - CBD Loop,TRUCK_095,DRIVER_071,102,32.3,"STORE_152,STORE_109,STORE_009,STORE_008,STORE_024,STORE_056,STORE_060",Harare South,05:00-07:00,Same Day,3000
RT_001,Harare - Borrowdale Extension,TRUCK_092,DRIVER_140,147,32,"STORE_195,STORE_041,STORE_179,STORE_109,STORE_088",Harare North,04:00-06:00,Same Day,5000
RT_001,Chitungwiza - Unit L Loop,TRUCK_098,DRIVER_087,66,19.3,"STORE_089,STORE_155,STORE_068,STORE_012,STORE_187,STORE_118,STORE_138,STORE_032,STORE_097,STORE_021,STORE_142,STORE_076,STORE_161,STORE_159,STORE_093,STORE_148",Chitungwiza,03:00-05:00,Same Day,3000
RT_001,Harare - CBD Loop,TRUCK_085,DRIVER_059,114,108.5,"STORE_098,STORE_072,STORE_117,STORE_163,STORE_094,STORE_042,STORE_095,STORE_091",Harare South,03:00-05:00,Same Day,4500
RT_002,Gweru - Mkoba Route,TRUCK_078,DRIVER_044,176,82.9,"STORE_098,STORE_070,STORE_164,STORE_177,STORE_143,STORE_057,STORE_176,STORE_084,STORE_197,STORE_199,STORE_015,STORE_059,STORE_009,STORE_081,STORE_103,STORE_069,STORE_017,STORE_055,STORE_146",Gweru,05:00-07:00,Same Day,4500
RT_002,Mutare - Sakubva Market Loop,TRUCK_084,DRIVER_128,141,98.5,"STORE_068,STORE_036,STORE_064,STORE_191,STORE_144,STORE_138,STORE_192,STORE_150,STORE_110",Mutare,05:00-07:00,Same Day,7000
RT_002,Masvingo - Rujeko Run,TRUCK_029,DRIVER_036,170,59.4,"STORE_040,STORE_161,STORE_041,STORE_175,STORE_109,STORE_153,STORE_017,STORE_099",Masvingo,04:00-06:00,Same Day,3000
RT_002,Kwekwe - CBD Run,TRUCK_071,DRIVER_003,214,82.1,"STORE_029,STORE_076,STORE_112,STORE_041,STORE_117,STORE_001,STORE_185,STORE_068,STORE_129,STORE_196,STORE_046,STORE_130,STORE_028,STORE_161,STORE_077",Kwekwe,05:00-07:00,Same Day,5000
RT_003,Bulawayo - Nkulumane Loop,TRUCK_048,DRIVER_042,178,105.3,"STORE_126,STORE_005,STORE_029,STORE_093,STORE_079,STORE_062,STORE_015,STORE_146,STORE_021,STORE_022,STORE_188,STORE_125,STORE_018,STORE_195,STORE_137",Bulawayo,03:00-05:00,Same Day,3000
RT_003,Chitungwiza - Zengeza Distributor,TRUCK_061,DRIVER_141,82,36.5,"STORE_139,STORE_194,STORE_187,STORE_177,STORE_052,STORE_183,STORE_080,STORE_103,STORE_172,STORE_167,STORE_096",Chitungwiza,04:00-06:00,Same Day,7000
RT_003,Bindura - Astra Mine Route,TRUCK_016,DRIVER_064,97,16.4,"STORE_151,STORE_057,STORE_002,STORE_019,STORE_182,STORE_162,STORE_016,STORE_059,STORE_018,STORE_009,STORE_085,STORE_132",Bindura,03:00-05:00,Same Day,3000
RT_003,Gweru - Southdowns Loop,TRUCK_028,DRIVER_139,73,82.3,"STORE_122,STORE_105,STORE_049,STORE_025,STORE_169,STORE_111,STORE_091,STORE_109,STORE_106,STORE_120,STORE_187,STORE_014",Gweru,05:00-07:00,Same Day,7000
RT_004,Harare - CBD Loop,TRUCK_052,DRIVER_087,67,34.9,"STORE_036,STORE_109,STORE_047,STORE_072,STORE_119,STORE_064,STORE_020,STORE_114,STORE_141,STORE_026,STORE_013,STORE_167,STORE_139,STORE_004,STORE_024,STORE_193,STORE_061,STORE_043,STORE_105",Harare South,04:00-06:00,Same Day,4500
RT_004,Kwekwe - Redcliff Loop,TRUCK_111,DRIVER_103,55,26.5,"STORE_068,STORE_117,STORE_074,STORE_109,STORE_179,STORE_188,STORE_143,STORE_170,STORE_184,STORE_125,STORE_040,STORE_049,STORE_076,STORE_056,STORE_015,STORE_149,STORE_189",Kwekwe,05:00-07:00,Same Day,3000
