sale_id,timestamp,retailer_id,region,sku,qty_sold,price,promotion_flag,promotion_name
SALE_811499,2025-03-08 01:28:43,STORE_142,Gweru,Family Loaf,46,2.01,1,Women’s Day Promo
SALE_806475,2025-04-27 07:24:26,STORE_021,Kwekwe,Family Loaf,58,2.23,0,
SALE_813167,2025-04-10 21:44:59,STORE_119,Bindura,Wholegrain Brown,51,1.38,0,
SALE_800862,2025-06-27 10:11:42,STORE_183,Masvingo,High Energy Brown,33,1.28,0,
SALE_805970,2025-05-13 15:38:03,STORE_031,Harare,High Energy Brown,37,1.33,0,
SALE_806706,2025-01-31 10:59:10,STORE_199,Bindura,Wholegrain Brown,50,1.39,0,
SALE_803017,2025-05-21 07:47:35,STORE_111,Kwekwe,Soft White,19,1.22,0,
SALE_803781,2025-01-14 04:13:42,STORE_050,Bindura,Seed Loaf,13,1.48,0,
SALE_803898,2025-06-02 05:48:51,STORE_164,Gweru,High Energy White,6,1.35,0,
SALE_802250,2025-02-28 01:23:59,STORE_021,Bulawayo,Seed Loaf,28,1.51,0,
SALE_800542,2025-07-19 21:43:28,STORE_029,Mutare,Whole Wheat,55,1.42,0,
SALE_804351,2025-04-30 15:58:28,STORE_067,Gweru,Family Loaf,7,2.22,0,
SALE_812807,2025-05-18 16:23:39,STORE_168,Bulawayo,Soft White,29,1.2,0,
SALE_806631,2025-04-13 11:36:44,STORE_017,Chitungwiza,Family Loaf,21,2.21,0,
SALE_806705,2025-02-21 18:36:31,STORE_073,Mutare,Soft White,40,1.18,0,
SALE_806978,2025-05-15 09:04:07,STORE_070,Bindura,Wholegrain Brown,37,1.4,0,
SALE_807399,2025-03-29 21:42:48,STORE_050,Kwekwe,Whole Wheat,30,1.47,0,
SALE_811119,2025-06-08 07:00:23,STORE_191,Harare,Seed Loaf,45,1.49,0,
SALE_812665,2025-04-22 07:00:25,STORE_151,Gweru,Soft White,32,1.19,0,
SALE_805304,2025-01-19 01:22:35,STORE_170,Mutare,High Energy Brown,2,1.32,0,
SALE_802312,2025-03-15 10:11:42,STORE_002,Chitungwiza,High Energy Brown,56,1.27,0,
SALE_807040,2025-06-01 16:45:58,STORE_016,Bulawayo,Wholegrain Brown,49,1.4,0,
SALE_801889,2025-05-27 10:13:55,STORE_012,Bulawayo,High Energy White,10,1.29,0,
SALE_808991,2025-04-23 12:17:48,STORE_181,Gweru,Family Loaf,32,2.2,0,
SALE_800169,2025-01-06 03:38:21,STORE_095,Bulawayo,Whole Wheat,25,1.46,0,
SALE_801795,2025-04-01 17:48:50,STORE_132,Chitungwiza,Soft White,48,1.24,0,
SALE_803975,2025-01-08 01:57:48,STORE_059,Gweru,Family Loaf,24,2.2,0,
SALE_806820,2025-05-29 10:42:13,STORE_117,Gweru,Soft White,13,1.19,0,
SALE_807826,2025-04-10 19:10:54,STORE_199,Chitungwiza,Seed Loaf,41,1.52,0,
SALE_811809,2025-01-10 16:10:15,STORE_192,Bulawayo,Soft White,9,1.21,0,
SALE_801039,2025-03-21 20:01:13,STORE_012,Masvingo,Family Loaf,25,2.25,0,
SALE_802848,2025-04-12 23:19:41,STORE_001,Kwekwe,Whole Wheat,40,1.5,0,
SALE_803371,2025-07-17 02:38:14,STORE_185,Chitungwiza,Seed Loaf,41,1.51,0,
SALE_808829,2025-05-27 07:43:53,STORE_027,Gweru,Seed Loaf,41,1.55,0,
SALE_810349,2025-05-25 09:09:20,STORE_195,Harare,Seed Loaf,6,1.37,1,Africa Day Promo
SALE_808797,2025-02-03 19:03:18,STORE_175,Chitungwiza,Family Loaf,57,2.18,0,
SALE_800764,2025-02-23 11:30:50,STORE_189,Mutare,Soft White,46,1.19,0,
SALE_801593,2025-03-22 06:01:45,STORE_144,Bulawayo,Seed Loaf,19,1.49,0,
SALE_814232,2025-07-30 11:59:12,STORE_178,Harare,High Energy Brown,20,1.29,0,
SALE_805872,2025-01-23 21:12:45,STORE_193,Harare,Seed Loaf,34,1.53,0,
SALE_809940,2025-04-27 17:17:04,STORE_137,Gweru,Family Loaf,43,2.24,0,
SALE_805169,2025-02-28 09:30:16,STORE_016,Mutare,High Energy White,31,1.34,0,
SALE_810909,2025-05-05 08:49:15,STORE_154,Masvingo,High Energy White,53,1.34,0,
SALE_804122,2025-03-03 11:01:14,STORE_043,Mutare,Whole Wheat,48,1.47,0,
SALE_812948,2025-06-28 16:27:06,STORE_098,Harare,High Energy White,57,1.29,0,
SALE_814482,2025-04-07 10:30:49,STORE_175,Kwekwe,Soft White,15,1.19,0,
SALE_800149,2025-04-26 20:13:25,STORE_120,Gweru,Family Loaf,46,2.25,0,
SALE_811736,2025-02-27 16:58:12,STORE_121,Bindura,Soft White,10,1.19,0,
SALE_800387,2025-06-22 06:08:30,STORE_119,Kwekwe,High Energy White,12,1.27,0,
SALE_803946,2025-04-15 06:47:46,STORE_115,Bindura,High Energy White,13,1.3,0,
SALE_813402,2025-03-06 22:49:44,STORE_005,Harare,High Energy Brown,47,1.3,0,
SALE_801373,2025-03-04 07:48:55,STORE_038,Harare,Family Loaf,22,2.19,0,
SALE_802884,2025-02-06 05:00:11,STORE_067,Gweru,Whole Wheat,52,1.5,0,
SALE_814042,2025-03-17 03:58:10,STORE_043,Bindura,Soft White,48,1.21,0,
SALE_811360,2025-07-01 21:42:42,STORE_040,Chitungwiza,Wholegrain Brown,52,1.38,0,
SALE_802991,2025-06-08 06:21:26,STORE_177,Mutare,Family Loaf,41,2.18,0,
SALE_811595,2025-07-30 06:09:51,STORE_113,Bindura,High Energy Brown,19,1.32,0,
SALE_810581,2025-06-18 21:09:28,STORE_005,Gweru,Whole Wheat,48,1.48,0,
SALE_814867,2025-02-14 01:39:33,STORE_058,Mutare,Family Loaf,58,1.98,1,Valentine Promo
SALE_814424,2025-06-18 04:39:05,STORE_132,Gweru,Soft White,25,1.25,0,
SALE_803024,2025-04-12 13:27:01,STORE_002,Bindura,High Energy White,15,1.3,0,
SALE_800251,2025-03-12 19:41:40,STORE_138,Kwekwe,Wholegrain Brown,51,1.4,0,
SALE_812146,2025-03-05 07:19:49,STORE_152,Gweru,Whole Wheat,20,1.43,0,
SALE_811438,2025-01-03 22:21:07,STORE_135,Harare,Soft White,24,1.24,0,
SALE_807092,2025-07-07 01:30:35,STORE_153,Masvingo,Seed Loaf,40,1.47,0,
SALE_800932,2025-06-26 19:19:47,STORE_099,Kwekwe,Soft White,29,1.23,0,
SALE_807217,2025-03-26 22:24:58,STORE_193,Bindura,High Energy White,33,1.32,0,
SALE_803684,2025-02-19 08:04:23,STORE_172,Masvingo,Wholegrain Brown,34,1.43,0,
SALE_808368,2025-04-06 18:38:24,STORE_123,Kwekwe,Whole Wheat,53,1.48,0,
SALE_809478,2025-07-17 07:42:22,STORE_156,Harare,Whole Wheat,59,1.44,0,
SALE_811724,2025-03-16 10:34:45,STORE_191,Masvingo,Wholegrain Brown,8,1.38,0,
SALE_807417,2025-07-04 03:46:52,STORE_181,Gweru,Seed Loaf,4,1.51,0,
SALE_810504,2025-05-03 19:04:51,STORE_112,Bulawayo,High Energy White,18,1.28,0,
SALE_810515,2025-04-12 05:55:48,STORE_194,Chitungwiza,Whole Wheat,6,1.43,0,
SALE_813509,2025-01-02 13:47:43,STORE_034,Bulawayo,Soft White,12,1.17,0,
SALE_807172,2025-03-22 11:02:55,STORE_080,Harare,Seed Loaf,37,1.53,0,
SALE_803328,2025-02-13 19:03:19,STORE_160,Kwekwe,Soft White,9,1.22,0,
SALE_805023,2025-01-27 12:40:56,STORE_023,Bindura,Family Loaf,14,2.18,0,
SALE_802214,2025-04-02 11:24:58,STORE_107,Harare,High Energy Brown,55,1.34,0,
SALE_802216,2025-05-08 15:04:07,STORE_139,Gweru,Soft White,58,1.19,0,
SALE_814795,2025-01-01 00:29:15,STORE_192,Gweru,High Energy White,72,1.28,0,
SALE_802859,2025-01-06 06:30:33,STORE_110,Chitungwiza,Wholegrain Brown,29,1.38,0,
SALE_804024,2025-03-09 09:57:28,STORE_001,Chitungwiza,Whole Wheat,36,1.45,0,
SALE_802760,2025-04-25 22:14:05,STORE_029,Harare,High Energy Brown,53,1.34,0,
SALE_803290,2025-01-24 17:55:23,STORE_080,Chitungwiza,Family Loaf,39,2.2,0,
SALE_810043,2025-05-27 00:06:06,STORE_122,Mutare,Seed Loaf,58,1.47,0,
SALE_802626,2025-06-12 17:34:13,STORE_049,Harare,Seed Loaf,53,1.53,0,
SALE_804609,2025-05-11 22:32:41,STORE_027,Bulawayo,Family Loaf,50,2.18,0,
SALE_813283,2025-04-08 13:31:58,STORE_115,Gweru,Whole Wheat,43,1.44,0,
SALE_812472,2025-03-08 10:46:58,STORE_015,Kwekwe,Family Loaf,98,1.96,1,Women’s Day Promo
SALE_811739,2025-06-09 08:44:07,STORE_194,Bindura,Seed Loaf,32,1.51,0,
SALE_806661,2025-05-01 21:34:35,STORE_122,Mutare,Wholegrain Brown,17,1.42,0,
SALE_813939,2025-01-30 23:14:42,STORE_171,Kwekwe,Seed Loaf,2,1.49,0,
SALE_807359,2025-03-21 12:03:21,STORE_072,Mutare,High Energy White,24,1.34,0,
SALE_803204,2025-07-28 00:22:40,STORE_036,Masvingo,Whole Wheat,18,1.48,0,
SALE_811752,2025-05-10 08:40:07,STORE_082,Bulawayo,Soft White,55,1.18,0,
SALE_806126,2025-04-15 08:16:02,STORE_088,Mutare,Wholegrain Brown,49,1.4,0,
SALE_814629,2025-07-18 18:18:52,STORE_034,Harare,Whole Wheat,28,1.44,0,
SALE_802678,2025-07-07 03:42:23,STORE_025,Harare,Soft White,27,1.22,0,
SALE_803708,2025-05-18 01:12:38,STORE_139,Mutare,High Energy White,43,1.33,0,
SALE_809987,2025-07-09 06:51:13,STORE_018,Chitungwiza,Seed Loaf,23,1.49,0,
SALE_802805,2025-03-28 00:59:40,STORE_156,Bulawayo,Seed Loaf,25,1.55,0,
SALE_801453,2025-01-10 08:46:18,STORE_122,Harare,Soft White,24,1.21,0,
SALE_814421,2025-03-23 06:54:41,STORE_095,Masvingo,Seed Loaf,15,1.5,0,
SALE_809999,2025-01-25 09:42:31,STORE_140,Bulawayo,Family Loaf,47,2.18,0,
SALE_802319,2025-01-24 03:02:53,STORE_036,Bindura,Whole Wheat,30,1.47,0,
SALE_813882,2025-06-12 21:16:54,STORE_100,Kwekwe,Whole Wheat,40,1.49,0,
SALE_812608,2025-07-14 05:05:16,STORE_082,Gweru,High Energy Brown,47,1.31,0,
SALE_807333,2025-05-05 22:40:14,STORE_004,Kwekwe,Whole Wheat,30,1.42,0,
SALE_803651,2025-05-19 00:48:26,STORE_192,Chitungwiza,High Energy White,37,1.3,0,
SALE_802288,2025-06-24 23:21:55,STORE_103,Bulawayo,Wholegrain Brown,51,1.42,0,
