waste_id,timestamp,plant_id,stage,sku,qty_waste,waste_reason_code,batch_id,shift,route_id,retailer_id,temperature_at_check,handling_condition,notes,qty waste 
WST_305688,2025-06-24 18:25:40,Willowvale_Plant,post_dispatch,Whole Wheat,77,Contaminated,,Afternoon,RT_050,STORE_192,20.0,Condensation,Expired on shelf,77
WST_312731,2025-03-16 12:21:22,Willowvale_Plant,post_dispatch,High Energy White,56,Damaged Packaging,,Morning,RT_015,STORE_104,41.3,Heat Damage,Damaged during loading,56
WST_304096,2025-06-01 07:52:22,Shepperton_Plant,post_dispatch,Soft White,101,Crushed,,Morning,RT_042,STORE_096,20.5,Heat Damage,,101
WST_310217,2025-02-10 09:42:58,Shepperton_Plant,production,High Energy White,50,Returned Unsold,BATCH_15628,Afternoon,,,27.7,Normal,,50
WST_302848,2025-04-22 21:29:48,Willowvale_Plant,post_dispatch,Seed Loaf,177,Mould Growth,,Afternoon,RT_068,STORE_146,19.9,Sun Exposure,Customer returned,177
WST_304843,2025-01-19 08:59:02,Shepperton_Plant,production,Family Loaf,49,Crushed,BATCH_13404,Night,,,26.7,Normal,,49
WST_304653,2025-04-27 16:22:25,Willowvale_Plant,post_dispatch,Whole Wheat,100,Returned Unsold,,Morning,RT_042,STORE_143,19.1,Condensation,Expired on shelf,100
WST_305803,2025-07-08 05:07:28,Shepperton_Plant,post_dispatch,High Energy White,8,Mould Growth,,Morning,RT_058,STORE_064,31.5,Condensation,Expired on shelf,8
WST_313425,2025-05-19 13:38:47,Willowvale_Plant,post_dispatch,Soft White,81,Damaged Packaging,,Morning,RT_043,STORE_007,18.6,Sun Exposure,Customer returned,81
WST_312911,2025-05-28 02:28:20,Willowvale_Plant,post_dispatch,High Energy White,29,Expired,,Afternoon,RT_026,STORE_054,24.5,Normal,,29
WST_310711,2025-06-17 22:28:55,Shepperton_Plant,production,Family Loaf,10,Underweight,BATCH_20372,Night,,,39.0,Normal,Expired on shelf,10
WST_305837,2025-05-14 02:00:31,Willowvale_Plant,production,Wholegrain Brown,48,Returned Unsold,BATCH_20265,Afternoon,,,20.8,Sun Exposure,Customer returned,48
WST_300169,2025-07-09 06:03:54,Willowvale_Plant,post_dispatch,Family Loaf,144,Returned Unsold,,Night,RT_013,STORE_016,22.0,Normal,Customer returned,144
WST_302124,2025-01-16 04:39:03,Willowvale_Plant,production,Seed Loaf,95,Contaminated,BATCH_16778,Afternoon,,,20.2,Heat Damage,Damaged during loading,95
WST_300468,2025-05-13 06:09:38,Shepperton_Plant,production,High Energy Brown,145,Expired,BATCH_11706,Afternoon,,,23.5,Condensation,,145
WST_310683,2025-05-06 22:31:40,Shepperton_Plant,production,Family Loaf,163,Burnt/Overbaked,BATCH_17079,Night,,,25.2,Sun Exposure,Customer returned,163
WST_312255,2025-05-11 23:04:41,Willowvale_Plant,post_dispatch,Wholegrain Brown,122,Contaminated,,Night,RT_062,STORE_018,22.6,Rough Handling,,122
WST_301010,2025-07-02 19:29:58,Shepperton_Plant,production,Family Loaf,168,Stale,BATCH_21502,Morning,,,25.6,Sun Exposure,Customer returned,168
WST_306346,2025-01-05 15:24:32,Shepperton_Plant,production,Whole Wheat,77,Expired,BATCH_28124,Afternoon,,,27.5,Rough Handling,,77
WST_303542,2025-06-16 00:08:21,Shepperton_Plant,production,Seed Loaf,179,Contaminated,BATCH_14190,Night,,,23.8,Heat Damage,Customer returned,179
WST_302984,2025-07-17 13:36:31,Willowvale_Plant,post_dispatch,Soft White,166,Contaminated,,Night,RT_027,STORE_195,24.4,Rough Handling,Damaged during loading,166
WST_306601,2025-02-11 21:17:27,Willowvale_Plant,production,High Energy Brown,179,Mould Growth,BATCH_10972,Afternoon,,,19.3,Condensation,,179
WST_313436,2025-01-24 11:26:06,Willowvale_Plant,production,Wholegrain Brown,89,Quality Failure,BATCH_15806,Night,,,21.3,Heat Damage,,89
WST_311156,2025-05-29 10:42:13,Willowvale_Plant,post_dispatch,High Energy Brown,37,Stale,,Night,RT_021,STORE_169,21.5,Condensation,Expired on shelf,37
