dispatch_id,timestamp,plant_id,route_id,vehicle_id,sku,qty_dispatched,expected_arrival,actual_arrival,retailer_id,dispatch_delay_minutes,hour,dayofweek
DSP_112051,2025-02-19 20:30:27,Shepperton_Plant,RT_015,TRUCK_065,Seed Loaf,107,2025-02-19 22:02:27,2025-02-19 21:53:27,STORE_092,-9.0,20.0,Wednesday
DSP_111239,2025-03-06 13:28:06,Shepperton_Plant,RT_064,TRUCK_049,High Energy White,285,2025-03-06 14:14:06,2025-03-06 14:29:06,STORE_108,15.0,13.0,Thursday
DSP_114028,2025-03-02 13:47:23,Shepperton_Plant,RT_062,TRUCK_061,High Energy Brown,368,2025-03-02 15:58:23,2025-03-02 15:54:23,STORE_140,-4.0,13.0,Sunday
DSP_101439,2025-04-16 10:26:49,Shepperton_Plant,RT_055,TRUCK_011,Soft White,102,2025-04-16 12:19:49,2025-04-16 12:39:49,STORE_042,20.0,10.0,Wednesday
DSP_115352,2025-06-30 13:20:19,Shepperton_Plant,RT_032,TRUCK_072,Soft White,490,2025-06-30 16:10:19,2025-06-30 16:38:19,STORE_136,28.0,13.0,Monday
DSP_107973,2025-02-08 04:54:34,Willowvale_Plant,RT_013,TRUCK_009,High Energy Brown,57,2025-02-08 07:36:34,2025-02-08 08:09:34,STORE_183,33.0,4.0,Saturday
DSP_101236,2025-01-22 04:12:33,Shepperton_Plant,RT_067,TRUCK_026,Family Loaf,83,2025-01-22 05:16:33,2025-01-22 05:35:33,STORE_144,19.0,4.0,Wednesday
DSP_102961,2025-01-09 12:59:14,Willowvale_Plant,RT_064,TRUCK_081,Seed Loaf,303,2025-01-09 13:34:14,2025-01-09 13:33:14,STORE_182,-1.0,12.0,Thursday
DSP_106057,2025-01-09 00:37:44,Willowvale_Plant,RT_028,TRUCK_018,Soft White,275,2025-01-09 04:28:44,2025-01-09 04:31:44,STORE_025,3.0,0.0,Thursday
DSP_103982,2025-07-05 14:55:06,Shepperton_Plant,RT_059,TRUCK_022,High Energy White,334,2025-07-05 16:29:06,2025-07-05 16:36:06,STORE_168,7.0,14.0,Saturday
DSP_114397,2025-05-30 11:51:42,Shepperton_Plant,RT_039,TRUCK_024,Whole Wheat,244,2025-05-30 13:52:42,2025-05-30 14:04:42,STORE_169,12.0,11.0,Friday
DSP_114629,2025-03-10 09:22:27,Shepperton_Plant,RT_019,TRUCK_027,High Energy White,437,2025-03-10 11:51:27,2025-03-10 12:10:27,STORE_139,19.0,9.0,Monday
DSP_109710,2025-04-20 23:16:10,Shepperton_Plant,RT_068,TRUCK_076,Wholegrain Brown,663,2025-04-21 02:06:10,2025-04-21 02:32:10,STORE_097,26.0,23.0,Sunday
DSP_105039,2025-01-24 19:36:37,Shepperton_Plant,RT_033,TRUCK_031,Whole Wheat,261,2025-01-24 21:35:37,2025-01-24 22:16:37,STORE_175,41.0,19.0,Friday
DSP_107379,2025-06-02 17:19:08,Shepperton_Plant,RT_008,TRUCK_020,Whole Wheat,144,2025-06-02 20:31:08,2025-06-02 20:57:08,STORE_190,26.0,17.0,Monday
DSP_109222,2025-06-15 22:34:38,Shepperton_Plant,RT_018,TRUCK_041,High Energy White,55,2025-06-16 00:37:38,2025-06-16 00:58:38,STORE_116,21.0,22.0,Sunday
DSP_114976,2025-02-12 12:25:47,Shepperton_Plant,RT_050,TRUCK_007,Seed Loaf,400,2025-02-12 14:23:47,2025-02-12 14:32:47,STORE_080,9.0,12.0,Wednesday
DSP_112358,2025-06-02 06:03:07,Willowvale_Plant,RT_042,TRUCK_026,Wholegrain Brown,471,2025-06-02 08:30:07,2025-06-02 08:27:07,STORE_152,-3.0,6.0,Monday
DSP_112590,2025-04-09 20:15:29,Shepperton_Plant,RT_015,TRUCK_077,Soft White,176,2025-04-09 22:44:29,2025-04-09 22:46:29,STORE_186,2.0,20.0,Wednesday
DSP_115408,2025-04-04 18:22:31,Shepperton_Plant,RT_009,TRUCK_053,Wholegrain Brown,476,2025-04-04 19:35:31,2025-04-04 20:16:31,STORE_084,41.0,18.0,Friday
DSP_104658,2025-04-24 13:51:21,Shepperton_Plant,RT_028,TRUCK_065,Wholegrain Brown,227,2025-04-24 17:32:21,2025-04-24 17:52:21,STORE_034,20.0,13.0,Thursday
DSP_114211,2025-03-15 14:10:34,Shepperton_Plant,RT_020,TRUCK_026,Wholegrain Brown,535,2025-03-15 16:32:34,2025-03-15 16:56:34,STORE_148,24.0,14.0,Saturday
DSP_111823,2025-03-03 20:25:26,Willowvale_Plant,RT_002,TRUCK_063,Soft White,432,2025-03-03 23:16:26,2025-03-03 23:08:26,STORE_147,-8.0,20.0,Monday
DSP_106154,2025-03-09 11:44:12,Shepperton_Plant,RT_055,TRUCK_064,High Energy White,543,2025-03-09 13:21:12,2025-03-09 13:30:12,STORE_081,9.0,11.0,Sunday
DSP_107691,2025-07-04 09:57:49,Willowvale_Plant,RT_064,TRUCK_080,Whole Wheat,145,2025-07-04 12:47:49,2025-07-04 13:14:49,STORE_011,27.0,9.0,Friday
DSP_108577,2025-01-26 22:46:59,Willowvale_Plant,RT_011,TRUCK_040,Soft White,245,2025-01-27 00:45:59,2025-01-27 01:29:59,STORE_191,44.0,22.0,Sunday
DSP_106941,2025-03-02 20:09:43,Willowvale_Plant,RT_036,TRUCK_080,High Energy White,258,2025-03-02 20:42:43,2025-03-02 20:57:43,STORE_068,15.0,20.0,Sunday
DSP_101288,2025-04-18 07:44:24,Shepperton_Plant,RT_055,TRUCK_017,Family Loaf,292,2025-04-18 10:43:24,2025-04-18 10:41:24,STORE_028,-2.0,7.0,Friday
DSP_110517,2025-05-25 00:37:23,Shepperton_Plant,RT_056,TRUCK_022,Soft White,115,2025-05-25 03:17:23,2025-05-25 03:48:23,STORE_195,31.0,0.0,Sunday
DSP_115819,2025-01-20 15:30:58,Willowvale_Plant,RT_055,TRUCK_034,Family Loaf,309,2025-01-20 17:01:58,2025-01-20 16:58:58,STORE_163,-3.0,15.0,Monday
DSP_108785,2025-02-23 05:06:17,Shepperton_Plant,RT_014,TRUCK_008,Family Loaf,106,2025-02-23 05:51:17,2025-02-23 05:55:17,STORE_178,4.0,5.0,Sunday
DSP_106700,2025-01-31 18:08:23,Shepperton_Plant,RT_002,TRUCK_070,Soft White,122,2025-01-31 21:02:23,2025-01-31 21:35:23,STORE_065,33.0,18.0,Friday
DSP_115387,2025-02-28 18:30:17,Shepperton_Plant,RT_008,TRUCK_019,Whole Wheat,377,2025-02-28 21:50:17,2025-02-28 22:25:17,STORE_176,35.0,18.0,Friday
DSP_109252,2025-05-27 22:50:05,Shepperton_Plant,RT_013,TRUCK_071,High Energy Brown,209,2025-05-28 01:05:05,2025-05-28 01:33:05,STORE_114,28.0,22.0,Tuesday
DSP_100891,2025-02-09 04:41:41,Willowvale_Plant,RT_006,TRUCK_014,Family Loaf,231,2025-02-09 05:47:41,2025-02-09 05:45:41,STORE_070,-2.0,4.0,Sunday
DSP_102681,2025-04-10 00:44:15,Shepperton_Plant,RT_004,TRUCK_030,High Energy White,399,2025-04-10 01:57:15,2025-04-10 02:19:15,STORE_034,22.0,0.0,Thursday
DSP_112729,2025-06-09 09:13:42,Willowvale_Plant,RT_036,TRUCK_004,Family Loaf,440,2025-06-09 12:30:42,2025-06-09 12:38:42,STORE_154,8.0,9.0,Monday
DSP_111106,2025-01-16 06:09:14,Shepperton_Plant,RT_034,TRUCK_049,Wholegrain Brown,506,2025-01-16 06:49:14,2025-01-16 06:54:14,STORE_138,5.0,6.0,Thursday
DSP_109117,2025-05-13 09:05:33,Shepperton_Plant,RT_018,TRUCK_068,Soft White,281,2025-05-13 10:17:33,2025-05-13 10:18:33,STORE_160,1.0,9.0,Tuesday
DSP_108176,2025-04-28 21:29:23,Willowvale_Plant,RT_026,TRUCK_022,Seed Loaf,524,2025-04-28 23:41:23,2025-04-28 23:42:23,STORE_126,1.0,21.0,Monday
DSP_106099,2025-06-16 19:39:48,Willowvale_Plant,RT_028,TRUCK_007,Seed Loaf,471,2025-06-16 22:36:48,2025-06-16 23:06:48,STORE_053,30.0,19.0,Monday
