dispatch_id,timestamp,plant_id,route_id,vehicle_id,sku,qty_dispatched,retailer_id,dispatch_delay_minutes,hour,dayofweek,is_weekend,abs_delay,is_delayed_15,route_id_mean_7D,route_id_median_7D,route_id_std_7D,route_id_count_7D,route_id_mean_30D,route_id_median_30D,route_id_std_30D,route_id_count_30D,plant_id_mean_7D,plant_id_median_7D,plant_id_std_7D,plant_id_count_7D,plant_id_mean_30D,plant_id_median_30D,plant_id_std_30D,plant_id_count_30D,route_id_mean,route_id_std,route_id_zscore,if_score,if_anomaly,delay_zscore,z_anomaly
DSP_105970,2025-07-23 03:00:54,Shepperton_Plant,RT_019,TRUCK_040,High Energy Brown,30,STORE_144,1.0,3.0,Wednesday,False,1.0,False,41.0,41.0,0.0,1,41.0,41.0,0.0,1,22.2,38.0,24.108089928486663,5,22.2,38.0,24.108089928486663,5,16.90272373540856,15.978570621766707,-0.9952532120579782,0.17472213070789833,True,-1.0153695375685858,False
DSP_101655,2025-01-23 16:59:37,Shepperton_Plant,RT_011,TRUCK_014,Whole Wheat,113,STORE_044,35.0,16.0,Thursday,False,35.0,True,40.0,40.0,0.0,1,40.0,40.0,0.0,1,23.416666666666668,31.5,18.76872802070379,12,23.416666666666668,31.5,18.76872802070379,12,15.640552995391705,16.33191081300322,1.1853755035935292,0.17046651617350894,True,1.1268618014715879,False
DSP_105195,2025-05-15 00:03:15,Shepperton_Plant,RT_024,TRUCK_008,Wholegrain Brown,43,STORE_039,38.0,0.0,Thursday,False,38.0,True,33.0,33.0,0.0,1,33.0,33.0,0.0,1,25.142857142857142,31.0,9.805246409084127,7,25.142857142857142,31.0,9.805246409084127,7,16.39622641509434,16.19500785833189,1.3339773449872767,0.1642914332038542,True,1.3158822137398385,False
DSP_111568,2025-02-20 07:14:08,Shepperton_Plant,RT_040,TRUCK_085,High Energy Brown,496,STORE_119,43.0,7.0,Thursday,False,43.0,True,,,,0,,,,0,,,,0,,,,0,17.633802816901408,15.030069957362128,1.6876965479906867,0.16317582536843955,True,1.6309162341869228,False
DSP_104317,2025-04-27 17:47:06,Shepperton_Plant,RT_007,TRUCK_077,High Energy White,488,STORE_020,28.0,17.0,Sunday,True,28.0,True,,,,0,,,,0,,,,0,,,,0,19.54708520179372,14.980656537498943,0.5642552966251714,0.1623769011699674,True,0.6858141728456697,False
DSP_102971,2025-05-09 23:08:41,Willowvale_Plant,RT_006,TRUCK_086,High Energy Brown,181,STORE_088,33.0,23.0,Friday,False,33.0,True,37.0,37.0,0.0,1,37.0,37.0,0.0,1,22.764705882352942,30.0,18.780073920796696,17,22.764705882352942,30.0,18.780073920796696,17,17.47111111111111,15.575000318479454,0.997039394629363,0.1623074704347941,True,1.000848193292754,False
DSP_104613,2025-01-13 03:22:46,Shepperton_Plant,RT_064,TRUCK_041,Wholegrain Brown,348,STORE_156,-4.0,3.0,Monday,False,4.0,False,-10.0,-10.0,0.0,1,-10.0,-10.0,0.0,1,20.846153846153847,30.0,20.218993355449037,13,20.846153846153847,30.0,20.218993355449037,13,17.474789915966387,16.11788700795635,-1.3323576412569267,0.16099545661298587,True,-1.3304035580156703,False
DSP_101138,2025-05-15 00:25:49,Shepperton_Plant,RT_069,TRUCK_047,High Energy Brown,271,STORE_196,11.0,0.0,Thursday,False,11.0,False,-8.0,-8.0,0.0,1,-8.0,-8.0,0.0,1,-8.0,-8.0,0.0,1,-8.0,-8.0,0.0,1,18.768558951965066,15.019684981695196,-0.5172251589452622,0.1607406679069484,True,-0.38530149667441715,False
DSP_101368,2025-06-22 16:53:15,Shepperton_Plant,RT_058,TRUCK_052,Soft White,120,STORE_189,7.0,16.0,Sunday,True,7.0,False,35.0,35.0,0.0,1,35.0,35.0,0.0,1,26.8,31.0,7.758865896508329,5,26.8,31.0,7.758865896508329,5,18.05855855855856,16.031676609962528,-0.6897942634201132,0.16051200243029562,True,-0.6373287130320847,False
DSP_104836,2025-05-02 02:15:54,Shepperton_Plant,RT_018,TRUCK_026,Family Loaf,294,STORE_177,8.0,2.0,Friday,False,8.0,False,,,,0,,,,0,,,,0,,,,0,19.402489626556015,15.908325716720379,-0.7167623940822054,0.15770626113110076,True,-0.5743219089426678,False
DSP_113438,2025-07-01 12:43:11,Shepperton_Plant,RT_035,TRUCK_071,High Energy Brown,280,STORE_034,44.0,12.0,Tuesday,False,44.0,True,,,,0,,,,0,,,,0,,,,0,17.93220338983051,16.37862063324681,1.5915746016642398,0.15733436141099455,True,1.6939230382763397,False
DSP_113310,2025-02-19 02:29:06,Willowvale_Plant,RT_044,TRUCK_038,Soft White,459,STORE_163,30.0,2.0,Wednesday,False,30.0,True,43.0,43.0,0.0,1,43.0,43.0,0.0,1,21.26086956521739,24.0,16.64117945804746,23,21.26086956521739,24.0,16.64117945804746,23,17.318181818181817,15.355334807614641,0.8258900467301649,0.15722510990702276,True,0.8118277810245035,False
DSP_110200,2025-02-27 00:33:08,Willowvale_Plant,RT_064,TRUCK_003,Family Loaf,286,STORE_102,-10.0,0.0,Thursday,False,10.0,False,31.0,31.0,0.0,2,31.0,31.0,0.0,2,24.75,25.0,7.22841614740048,4,24.75,25.0,7.22841614740048,4,17.474789915966387,16.11788700795635,-1.7046148730540096,0.15630219062274409,True,-1.7084443825521716,False
DSP_107879,2025-05-31 03:08:20,Shepperton_Plant,RT_020,TRUCK_049,High Energy Brown,33,STORE_087,0.0,3.0,Saturday,True,0.0,False,36.5,36.5,9.192388155425117,2,36.5,36.5,9.192388155425117,2,22.428571428571427,31.5,20.308066929611552,14,22.428571428571427,31.5,20.308066929611552,14,18.50862068965517,15.374964577247153,-1.2038155012757168,0.1558506020406738,True,-1.0783763416580028,False
