sku,total_dispatches,total_qty,mean_qty,mean_delay_min,median_delay_min,on_time_rate,on_time_pct
Whole Wheat,2311,677295,293.07,17.02,17.0,0.74,74.0
Seed Loaf,2318,677137,292.12,17.25,17.0,0.75,75.0
Family Loaf,2287,669997,292.96,17.69,18.0,0.73,73.0
Soft White,2331,663150,284.49,17.03,17.0,0.75,75.0
High Energy White,2246,656249,292.19,17.05,17.0,0.75,75.0
High Energy Brown,2244,656142,292.4,16.83,17.0,0.75,75.0
Wholegrain Brown,2187,644581,294.73,16.84,17.0,0.75,75.0
Coke500ml,32,8407,262.72,23.25,23.0,0.62,62.0
SoapBar,27,6776,250.96,20.44,20.0,0.78,78.0
SoftWhite,20,6268,313.4,9.9,10.5,0.95,95.0
Water2L,21,5483,261.1,18.1,18.0,0.76,76.0
WholegrainBrown,13,4233,325.62,27.0,30.0,0.62,62.0
Whole grain Brown,13,3379,259.92,10.85,7.0,0.92,92.0
Soft Whtie,13,3247,249.77,17.38,25.0,0.77,77.0
HighEnergyBrown,11,2319,210.82,18.55,21.0,0.82,82.0
High Energy Brwn,6,1503,250.5,8.83,1.0,0.83,83.0
