location_type,location_id,Records,Qty_In,Qty_Out,Avg_Balance,Negative_Balance_Count
Plant,Shepperton_Plant,6031,2019046,1523679,30039.82,468
Plant,Willowvale_Plant,6020,2000460,1489731,29201.24,621
Store,STORE_154,51,1900,3383,-137.02,35
Store,STORE_096,48,1950,3456,-143.96,36
Store,STORE_119,48,1669,2973,-67.83,23
Store,STORE_027,44,1120,4048,-340.89,39
Store,STORE_112,42,1057,3445,-236.74,37
Store,STORE_147,42,1679,3392,-190.26,31
Store,STORE_120,41,1307,4055,-204.2,30
Store,STORE_179,40,1490,3644,-187.55,31
Store,STORE_178,40,1429,3552,-197.18,31
Store,STORE_046,40,1236,4032,-352.05,36
Store,STORE_001,40,1368,2756,-145.4,29
Store,STORE_068,40,1246,3691,-212.6,26
Store,STORE_194,39,907,4323,-274.15,31
Store,STORE_162,39,1796,2578,-118.74,24
Store,STORE_099,39,1008,3427,-220.15,34
Store,STORE_151,38,1296,3044,-179.82,29
Store,STORE_141,38,991,3321,-96.05,25
Store,STORE_125,38,4545,3233,-243.11,34
Store,STORE_129,37,736,4743,-370.97,28
Store,STORE_189,37,1078,3171,-195.41,25
Store,STORE_014,37,1567,2194,-118.54,26
Store,STORE_003,37,1164,3289,-157.65,28
Store,STORE_149,37,1386,3143,-175.14,24
Store,STORE_024,36,1388,2412,-121.39,16
Store,STORE_180,36,1038,3299,-204.08,29
Store,STORE_110,36,873,3147,-238.78,26
Store,STORE_169,36,1094,2338,-49.69,18
Store,STORE_174,36,722,3729,-388.75,34
Store,STORE_002,36,1014,2614,-117.64,22
Store,STORE_191,36,915,2781,-142.86,22
Store,STORE_039,35,1336,2482,-116.51,19
Store,STORE_142,35,1150,3256,-170.69,27
Store,STORE_196,35,6501,1249,-8.2,20
Store,STORE_020,35,1596,2269,-9.4,20
Store,STORE_013,35,848,3764,-370.46,33
Store,STORE_021,35,921,4047,-253.54,25
Store,STORE_183,35,860,3493,-234.8,26
Store,STORE_118,35,1087,3965,-344.8,32
Store,STORE_100,35,898,3800,-349.2,30
Store,STORE_087,34,988,3363,-210.03,29
Store,STORE_164,34,1086,2659,-220.41,22
Store,STORE_165,34,1160,3060,-163.53,22
Store,STORE_136,34,889,4505,-269.56,28
Store,STORE_106,34,1257,2326,-129.47,17
Store,STORE_033,34,944,2647,-151.97,26
Store,STORE_030,34,887,3079,-159.59,23
Store,STORE_012,34,5703,2369,-93.53,23
Store,STORE_041,34,1075,3367,-221.68,32
Store,STORE_053,34,5397,1411,46.15,11
Store,STORE_031,34,907,3137,-207.82,25
Store,STORE_193,34,5926,2151,-61.21,17
Store,STORE_011,33,5135,2603,-217.58,19
Store,STORE_061,33,1054,2160,-66.15,21
Store,STORE_047,33,745,3105,-259.76,27
Store,STORE_007,33,1209,3044,-220.94,27
Store,STORE_055,33,947,3282,-275.7,26
Store,STORE_081,33,1255,2716,-164.67,22
Store,STORE_075,33,3966,2982,-232.45,26
Store,STORE_097,33,994,3034,-126.94,23
Store,STORE_167,33,580,3503,-273.03,27
Store,STORE_138,33,977,3242,-174.52,25
Store,STORE_163,33,1354,2616,-28.24,15
Store,STORE_008,33,869,3482,-280.48,29
Store,STORE_111,33,1050,2544,-95.24,21
Store,STORE_064,32,821,3132,-185.66,22
Store,STORE_185,32,1023,3008,-165.88,20
Store,STORE_133,32,840,2402,-156.06,21
Store,STORE_079,32,909,2523,-174.72,26
Store,STORE_088,32,1074,2600,-198.25,23
Store,STORE_083,32,4458,1983,-45.03,16
Store,STORE_082,32,885,3516,-310.81,26
Store,STORE_146,32,4465,1927,-127.53,21
Store,STORE_093,31,1267,2283,-119.03,20
Store,STORE_078,31,1196,2384,-160.97,26
Store,STORE_137,31,1327,1541,28.23,12
Store,STORE_195,31,648,3642,-309.35,25
Store,STORE_113,31,1086,2778,-301.65,28
Store,STORE_145,31,824,3627,-251.16,24
Store,STORE_044,31,1624,1311,66.55,8
Store,STORE_056,31,1035,3537,-193.71,24
Store,STORE_048,31,1096,2287,-58.0,17
Store,STORE_067,31,772,3297,-271.74,21
Store,STORE_057,31,1017,2422,-123.03,22
Store,STORE_026,31,6200,2074,-59.16,18
Store,STORE_043,31,1393,1936,-141.58,27
Store,STORE_132,31,1042,2908,-207.97,23
Store,STORE_148,31,719,3061,-159.77,20
Store,STORE_108,31,858,2658,-183.61,25
Store,STORE_173,30,1229,2593,-158.8,20
Store,STORE_175,30,877,2880,-254.6,25
Store,STORE_197,30,918,2421,-142.4,22
Store,STORE_150,30,1022,2798,-218.2,20
Store,STORE_115,30,1185,1936,-61.23,18
Store,STORE_022,30,1061,3180,-214.57,21
Store,STORE_140,30,803,2721,-289.8,24
Store,STORE_121,30,710,3627,-358.07,27
Store,STORE_127,30,662,3161,-219.0,23
Store,STORE_117,30,1060,2781,-131.63,21
Store,STORE_105,30,1153,2716,-229.8,28
Store,STORE_102,30,491,3667,-323.27,27
Store,STORE_084,30,987,2836,-194.2,17
Store,STORE_086,30,938,2546,-170.7,22
Store,STORE_085,30,1300,1812,-41.03,16
Store,STORE_116,29,691,3201,-250.07,24
Store,STORE_095,29,875,2189,-109.72,17
Store,STORE_037,29,913,2753,-233.59,22
Store,STORE_062,29,1274,1829,-32.76,13
Store,STORE_060,29,1353,1873,-129.62,17
Store,STORE_004,29,1182,2622,-224.97,20
Store,STORE_176,29,864,2634,-142.31,20
Store,STORE_186,29,996,2703,-121.38,14
Store,STORE_144,29,922,3382,-177.24,19
Store,STORE_168,29,1065,2632,-180.17,19
Store,STORE_153,29,832,3109,-269.52,23
Store,STORE_107,29,1181,1738,-68.0,19
Store,STORE_131,29,1034,2329,-140.97,19
Store,STORE_198,29,1025,2723,-172.79,23
Store,STORE_187,29,801,2973,-187.59,21
Store,STORE_182,29,593,3000,-303.14,27
Store,STORE_122,29,641,3683,-364.55,24
Store,STORE_058,28,404,3495,-269.61,24
Store,STORE_059,28,1022,2347,-61.0,15
Store,STORE_158,28,551,2973,-233.32,21
Store,STORE_190,28,1015,2312,-91.61,14
Store,STORE_104,28,1024,1793,-137.46,22
