hour,quantity_produced_count,quantity_produced_mean,quantity_produced_sum
0.0,747,1076.4163319946454,804083
1.0,602,1075.8405315614618,647656
2.0,657,1069.6773211567731,702778
3.0,631,1089.6925515055468,687596
4.0,642,1084.7258566978194,696394
5.0,635,1138.4267716535433,722901
6.0,636,1087.4701257861636,691631
7.0,582,1063.9398625429553,619213
8.0,606,1093.8118811881188,662850
9.0,655,1084.1725190839695,710133
10.0,643,1137.5505443234836,731445
11.0,623,1117.223113964687,696030
12.0,609,1101.1247947454845,670585
13.0,609,1085.7142857142858,661200
14.0,619,1084.4119547657513,671251
15.0,621,1090.281803542673,677065
16.0,620,1135.791935483871,704191
17.0,619,1080.5654281098546,668870
18.0,637,1123.2778649921506,715528
19.0,645,1118.0186046511628,721122
20.0,635,1107.8251968503937,703469
21.0,577,1119.6793760831888,646055
22.0,608,1078.7927631578948,655906
23.0,608,1119.875,680884
