batch_id,sku,parameter,fail_count,mean_value,min_value,max_value,notes_sample
BATCH_12739,Soft White,slice_uniformity_mm,3,1.6866666666666668,1.58,1.74,Above tolerance range | Seal issue detected
BATCH_14739,Soft White,crust_color_level,3,1.7833333333333332,-1.15,6.26,Seal issue detected | Internal temperature deviation
BATCH_13911,High Energy White,slice_uniformity_mm,3,2.796666666666667,-0.07,7.65,Above tolerance range | Seal issue detected | Below expected tolerance
BATCH_12306,Wholegrain Brown,slice_uniformity_mm,3,6.87,6.43,7.75,Color inconsistency | Below expected tolerance
BATCH_13890,Soft White,crust_color_level,3,1.8466666666666665,-1.06,6.31,Seal issue detected | Above tolerance range
BATCH_12874,Whole Wheat,slice_uniformity_mm,3,3.323333333333333,1.01,7.08,Internal temperature deviation | Below expected tolerance
BATCH_16041,High Energy Brown,internal_temp_c,3,97.16000000000001,91.11,101.05,Below expected tolerance | Above tolerance range
BATCH_16212,High Energy White,slice_uniformity_mm,3,5.056666666666667,1.43,6.87,Color inconsistency
BATCH_16721,Wholegrain Brown,moisture_percent,3,33.056666666666665,29.66,39.68,Seal issue detected | Internal temperature deviation
BATCH_16729,High Energy White,slice_uniformity_mm,3,5.066666666666666,0.63,7.35,Below expected tolerance | Seal issue detected | Above tolerance range
BATCH_17277,High Energy Brown,slice_uniformity_mm,3,7.316666666666667,6.29,8.38,Above tolerance range | Seal issue detected
BATCH_17593,Wholegrain Brown,crust_color_level,3,4.213333333333334,0.66,6.96,Seal issue detected
BATCH_17604,Seed Loaf,internal_temp_c,3,94.33999999999999,91.09,99.58,Internal temperature deviation | Above tolerance range | Below expected tolerance
BATCH_14694,Soft White,slice_uniformity_mm,2,4.805,1.62,7.99,Internal temperature deviation
BATCH_13060,Seed Loaf,crust_color_level,2,2.9699999999999998,-0.73,6.67,Seal issue detected | Color inconsistency
BATCH_12603,High Energy White,crust_color_level,2,3.7750000000000004,0.81,6.74,Below expected tolerance | Color inconsistency
BATCH_12426,Seed Loaf,internal_temp_c,2,95.91499999999999,92.76,99.07,Internal temperature deviation | Below expected tolerance
BATCH_13706,Family Loaf,moisture_percent,2,29.075000000000003,28.69,29.46,Internal temperature deviation | Seal issue detected
