route_id,qty_returned_sum,qty_returned_mean,qty_returned_count,retailer_id_nunique,temperature_at_return_mean
RT_058,15174,65.97,230,132,24.61
RT_014,13010,69.2,188,124,24.49
RT_063,12826,61.66,208,130,24.45
RT_026,12812,59.04,217,131,24.47
RT_030,12771,61.4,208,122,23.77
RT_024,12701,58.53,217,128,24.62
RT_010,12690,61.9,205,131,24.8
RT_006,12658,62.35,203,126,24.69
RT_052,12621,60.97,207,137,24.07
RT_002,12458,61.98,201,131,25.37
RT_004,12386,59.84,207,128,24.41
RT_068,12200,63.54,192,118,25.15
RT_053,12155,63.64,191,121,24.54
RT_041,12135,61.91,196,122,24.62
RT_017,12111,60.86,199,124,24.32
RT_013,12080,63.92,189,114,24.64
RT_062,12019,61.32,196,120,24.36
RT_023,12004,62.2,193,130,24.56
RT_051,11996,65.2,184,119,24.48
RT_029,11894,59.17,201,127,23.89
RT_032,11771,64.32,183,120,24.37
RT_065,11718,62.66,187,125,24.28
RT_044,11697,59.68,196,122,24.38
RT_045,11691,59.05,198,132,23.97
RT_036,11671,60.79,192,127,24.78
RT_009,11665,65.9,177,120,25.19
RT_054,11663,62.7,186,117,24.38
RT_056,11640,60.94,191,112,24.7
RT_043,11638,58.78,198,128,24.69
RT_059,11589,60.36,192,131,23.88
