sku,qty_returned_sum,qty_returned_mean,qty_returned_count
Soft White,115239,60.81,1895
Wholegrain Brown,112523,59.85,1880
High Energy White,111517,60.25,1851
Whole Wheat,111508,59.66,1869
Seed Loaf,110911,61.21,1812
High Energy Brown,110770,61.06,1814
Family Loaf,108864,61.19,1779
Milk1L,1999,62.47,32
Coke500ml,1583,51.06,31
DishSoap,1345,61.14,22
PotatoChips,1206,63.47,19
Whole grain Brown,1205,66.94,18
Soft Whtie,597,59.7,10
High Energy Brwn,472,78.67,6
HighEnergyBrown,468,58.5,8
WholegrainBrown,453,37.75,12
SoftWhite,383,54.71,7
