Route_ID,Store_ID,Total_Units,Primary_Depot
RT_002,STORE_095,1992,Harare_Willowvale
RT_031,STORE_047,1849,Harare_Willowvale
RT_035,STORE_035,1841,Bindura_Depot
RT_001,STORE_049,1675,Gweru_Branch
RT_009,STORE_101,1641,Harare_Willowvale
RT_017,STORE_059,1608,Mutare_Branch
RT_046,STORE_026,1578,Harare_Willowvale
RT_032,STORE_128,1516,Mutare_Branch
RT_043,STORE_033,1515,Gweru_Branch
RT_024,STORE_098,1507,Bindura_Depot
RT_028,STORE_092,1485,Bindura_Depot
RT_048,STORE_108,1476,Gweru_Branch
RT_009,STORE_102,1460,Harare_Southerton
RT_044,STORE_106,1456,Bulawayo_Branch
RT_022,STORE_080,1429,Marondera_Depot
RT_047,STORE_068,1404,Gweru_Branch
RT_009,STORE_132,1402,Gweru_Branch
RT_045,STORE_063,1389,Gweru_Branch
RT_017,STORE_019,1389,Bulawayo_Branch
RT_042,STORE_121,1388,Marondera_Depot
RT_041,STORE_099,1385,Kwekwe_Depot
RT_043,STORE_025,1382,Gweru_Branch
RT_037,STORE_100,1370,Masvingo_Branch
RT_039,STORE_111,1362,Marondera_Depot
RT_038,STORE_011,1362,Kwekwe_Depot
RT_030,STORE_095,1358,Harare_Southerton
RT_025,STORE_137,1354,Masvingo_Branch
RT_008,STORE_127,1344,Masvingo_Branch
RT_003,STORE_090,1337,Harare_Southerton
RT_012,STORE_070,1328,Harare_Southerton
RT_038,STORE_022,1302,Bindura_Depot
RT_018,STORE_139,1301,Marondera_Depot
RT_010,STORE_089,1295,Bindura_Depot
RT_033,STORE_074,1284,Bindura_Depot
RT_007,STORE_044,1284,Chitungwiza_Depot
RT_049,STORE_094,1274,Marondera_Depot
RT_023,STORE_139,1266,Gweru_Branch
RT_027,STORE_130,1265,Mutare_Branch
RT_036,STORE_052,1262,Gweru_Branch
RT_042,STORE_115,1262,Kwekwe_Depot
RT_002,STORE_056,1254,Masvingo_Branch
