retailer_id,quantity_sold_sum,quantity_sold_mean,revenue_sum,revenue_mean,sale_id_count,promotion_flag_sum,region_first
STORE_041,3133,31.33,4868.56,48.69,100,2,Harare
STORE_150,3094,29.19,4522.39,42.66,106,1,Bindura
STORE_100,3034,33.34,4568.43,50.2,91,4,Kwekwe
STORE_063,3028,33.27,4379.15,48.12,91,4,Bindura
STORE_106,3001,32.27,4507.68,48.47,93,0,Bulawayo
STORE_155,2989,32.49,4290.37,46.63,92,0,Chitungwiza
STORE_111,2981,32.76,4549.15,49.99,91,1,Kwekwe
STORE_028,2945,30.36,4189.4,43.19,97,0,Chitungwiza
STORE_109,2913,34.68,4311.71,51.33,84,2,Gweru
STORE_147,2894,30.15,4452.41,46.38,96,1,Gweru
STORE_164,2879,32.35,4479.67,50.33,89,1,Gweru
STORE_121,2863,34.91,4155.91,50.68,82,3,Bindura
STORE_014,2840,33.41,4140.75,48.71,85,2,Masvingo
STORE_107,2812,33.08,4239.09,49.87,85,3,Harare
STORE_036,2779,30.88,4273.86,47.49,90,1,Masvingo
STORE_024,2764,32.52,4054.16,47.7,85,1,Masvingo
STORE_050,2742,32.26,4008.71,47.16,85,0,Bindura
STORE_173,2741,35.14,3905.28,50.07,78,3,Mutare
STORE_034,2726,31.33,3884.07,44.64,87,4,Bulawayo
STORE_152,2718,36.24,4191.5,55.89,75,1,Gweru
STORE_176,2717,35.75,4052.12,53.32,76,1,Masvingo
STORE_012,2713,29.81,4084.6,44.89,91,2,Bulawayo
STORE_092,2710,33.46,4093.61,50.54,81,3,Chitungwiza
STORE_049,2698,32.12,4033.27,48.02,84,0,Harare
STORE_054,2687,31.99,3865.32,46.02,84,2,Mutare
STORE_161,2659,32.43,4013.17,48.94,82,2,Harare
STORE_125,2655,34.48,3729.51,48.44,77,3,Harare
STORE_153,2653,28.84,4040.14,43.91,92,1,Masvingo
STORE_126,2650,29.44,3937.34,43.75,90,0,Kwekwe
STORE_197,2648,32.29,3996.22,48.73,82,0,Kwekwe
STORE_128,2645,29.72,3798.9,42.68,89,2,Mutare
STORE_005,2637,33.81,3818.5,48.96,78,1,Harare
STORE_023,2630,30.58,4084.76,47.5,86,1,Bindura
STORE_006,2628,30.21,3909.92,44.94,87,4,Kwekwe
STORE_048,2626,30.53,3839.15,44.64,86,1,Chitungwiza
STORE_143,2609,33.45,3875.27,49.68,78,1,Mutare
STORE_123,2607,31.79,3925.96,47.88,82,3,Kwekwe
STORE_179,2597,30.55,3773.53,44.39,85,0,Masvingo
STORE_148,2594,28.51,3969.47,43.62,91,2,Gweru
STORE_119,2594,31.25,3858.82,46.49,83,2,Bindura
STORE_056,2587,30.8,3564.53,42.43,84,2,Masvingo
STORE_085,2582,32.68,3716.75,47.05,79,1,Harare
STORE_089,2580,34.4,3751.17,50.02,75,2,Bindura
STORE_069,2574,31.78,3994.39,49.31,81,1,Harare
STORE_130,2573,31.38,3941.82,48.07,82,3,Chitungwiza
STORE_057,2572,31.75,3789.13,46.78,81,2,Kwekwe
STORE_193,2567,30.93,3795.93,45.73,83,2,Harare
STORE_016,2566,32.9,3630.62,46.55,78,0,Bulawayo
STORE_061,2565,32.06,3913.25,48.92,80,2,Harare
STORE_035,2559,32.39,3719.08,47.08,79,2,Bindura
